Year,5th,17th,50th,83th,95th
2020,95,106,123,144,150
2021,111,124,144,161,172
2022,138,146,165,182,187
2023,154,166,183,202,213
2024,162,177,194,212,218
2025,171,183,203,219,232
2026,171,183,203,219,232
2027,187,199,223,241,251
2028,204,218,237,258,266
2029,223,231,254,271,276
2030,238,243,268,284,290
2031,257,262,285,300,307
2032,277,284,304,318,323
2033,287,298,316,329,333
2034,294,308,326,337,341
2035,300,314,331,342,346
2036,305,320,336,345,348
2037,309,328,342,351,353
2038,310,330,343,352,354
2039,314,334,347,355,357
2040,320,339,351,358,360
2041,322,341,354,360,362
2042,324,345,357,362,364
2043,326,346,360,364,365
2044,327,347,361,365,365
2045,328,349,363,365,365
2046,328,351,363,365,365
2047,328,351,364,365,365
2048,329,351,364,365,365
2049,329,352,364,365,365
2050,329,352,365,365,365
2051,329,352,365,365,365
2052,329,352,365,365,365
2053,329,352,365,365,365
2054,330,352,365,365,365
2055,330,352,365,365,365
2056,330,352,365,365,365
2057,330,352,365,365,365
2058,330,352,365,365,365
2059,330,352,365,365,365
2060,330,352,365,365,365
2061,330,352,365,365,365
2062,330,352,365,365,365
2063,330,352,365,365,365
2064,330,352,365,365,365
2065,330,352,365,365,365
2066,330,352,365,365,365
2067,330,352,365,365,365
2068,330,352,365,365,365
2069,330,352,365,365,365
2070,330,352,365,365,365
2071,330,352,365,365,365
2072,330,352,365,365,365
2073,330,352,365,365,365
2074,330,352,365,365,365
2075,330,352,365,365,365
2076,330,352,365,365,365
2077,330,352,365,365,365
2078,330,352,365,365,365
2079,330,352,365,365,365
2080,330,352,365,365,365
2081,330,352,365,365,365
2082,330,352,365,365,365
2083,330,352,365,365,365
2084,330,352,365,365,365
2085,330,352,365,365,365
2086,330,352,365,365,365
2087,330,352,365,365,365
2088,330,352,365,365,365
2089,330,352,365,365,365
2090,330,352,365,365,365
2091,330,352,365,365,365
2092,330,352,365,365,365
2093,330,352,365,365,365
2094,330,352,365,365,365
2095,330,352,365,365,365
2096,330,352,365,365,365
2097,330,352,365,365,365
2098,330,352,365,365,365
2099,330,352,365,365,365
2100,330,352,365,365,365
2101,330,352,365,365,365
2102,330,352,365,365,365
2103,330,352,365,365,365
2104,330,352,365,365,365
2105,330,352,365,365,365
2106,330,352,365,365,365
2107,330,352,365,365,365
2108,330,352,365,365,365
2109,330,352,365,365,365
2110,330,352,365,365,365
2111,330,352,365,365,365
2112,330,352,365,365,365
2113,330,352,365,365,365
2114,330,352,365,365,365
2115,330,352,365,365,365
2116,330,352,365,365,365
2117,330,352,365,365,365
2118,330,352,365,365,365
2119,330,352,365,365,365
2120,330,352,365,365,365
2121,330,352,365,365,365
2122,330,352,365,365,365
2123,330,352,365,365,365
2124,330,352,365,365,365
2125,330,352,365,365,365
2126,330,352,365,365,365
2127,330,352,365,365,365
2128,330,352,365,365,365
2129,330,352,365,365,365
2130,330,352,365,365,365
2131,330,352,365,365,365
2132,330,352,365,365,365
2133,330,352,365,365,365
2134,330,352,365,365,365
2135,330,352,365,365,365
2136,330,352,365,365,365
2137,330,352,365,365,365
2138,330,352,365,365,365
2139,330,352,365,365,365
2140,330,352,365,365,365
2141,330,352,365,365,365
2142,330,352,365,365,365
2143,330,352,365,365,365
2144,330,352,365,365,365
2145,330,352,365,365,365
2146,330,352,365,365,365
2147,330,352,365,365,365
2148,330,352,365,365,365
2149,330,352,365,365,365
2150,330,352,365,365,365
2151,330,352,365,365,365
2152,330,352,365,365,365
2153,330,352,365,365,365
2154,330,352,365,365,365
2155,330,352,365,365,365
2156,330,352,365,365,365
2157,330,352,365,365,365
2158,330,352,365,365,365
2159,330,352,365,365,365
2160,330,352,365,365,365
2161,330,352,365,365,365
2162,330,352,365,365,365
2163,330,352,365,365,365
2164,330,352,365,365,365
2165,330,352,365,365,365
2166,330,352,365,365,365
2167,330,352,365,365,365
2168,330,352,365,365,365
2169,330,352,365,365,365
2170,330,352,365,365,365
2171,330,352,365,365,365
2172,330,352,365,365,365
2173,330,352,365,365,365
2174,330,352,365,365,365
2175,330,352,365,365,365
2176,330,352,365,365,365
2177,330,352,365,365,365
2178,330,352,365,365,365
2179,330,352,365,365,365
2180,330,352,365,365,365
2181,330,352,365,365,365
2182,330,352,365,365,365
2183,330,352,365,365,365
2184,330,352,365,365,365
2185,330,352,365,365,365
2186,330,352,365,365,365
2187,330,352,365,365,365
2188,330,352,365,365,365
2189,330,352,365,365,365
2190,330,352,365,365,365
2191,330,352,365,365,365
2192,330,352,365,365,365
2193,330,352,365,365,365
2194,330,352,365,365,365
2195,330,352,365,365,365
2196,330,352,365,365,365
2197,330,352,365,365,365
2198,330,352,365,365,365
2199,330,352,365,365,365
2200,330,352,365,365,365
