Year,5th,17th,50th,83th,95th
2020,33,36,44,53,57
2021,38,42,50,60,66
2022,42,45,55,64,71
2023,42,45,55,64,71
2024,48,52,61,72,81
2025,57,59,70,84,88
2026,57,59,70,84,88
2027,59,63,74,90,94
2028,75,79,97,113,118
2029,95,100,117,136,140
2030,110,118,136,157,162
2031,122,131,152,171,179
2032,144,149,171,192,200
2033,168,177,197,216,225
2034,185,197,219,236,244
2035,186,203,226,240,247
2036,199,219,237,257,264
2037,217,238,255,274,282
2038,234,256,273,291,297
2039,236,262,278,294,299
2040,246,268,284,301,309
2041,261,285,302,318,324
2042,274,303,316,331,336
2043,287,318,332,343,348
2044,289,322,339,348,354
2045,294,329,344,353,357
2046,299,336,351,358,361
2047,303,340,355,361,364
2048,305,344,357,362,364
2049,306,348,359,364,365
2050,308,349,360,364,365
2051,310,351,362,365,365
2052,310,352,362,365,365
2053,310,353,363,365,365
2054,310,354,364,365,365
2055,311,354,365,365,365
2056,312,355,365,365,365
2057,312,355,365,365,365
2058,312,355,365,365,365
2059,313,355,365,365,365
2060,313,355,365,365,365
2061,313,355,365,365,365
2062,313,355,365,365,365
2063,313,355,365,365,365
2064,313,355,365,365,365
2065,313,355,365,365,365
2066,313,355,365,365,365
2067,313,355,365,365,365
2068,313,355,365,365,365
2069,313,355,365,365,365
2070,313,355,365,365,365
2071,313,355,365,365,365
2072,313,355,365,365,365
2073,313,355,365,365,365
2074,313,355,365,365,365
2075,313,355,365,365,365
2076,313,355,365,365,365
2077,313,355,365,365,365
2078,313,355,365,365,365
2079,313,355,365,365,365
2080,313,355,365,365,365
2081,313,355,365,365,365
2082,313,355,365,365,365
2083,313,355,365,365,365
2084,313,355,365,365,365
2085,313,355,365,365,365
2086,313,355,365,365,365
2087,313,355,365,365,365
2088,313,355,365,365,365
2089,313,355,365,365,365
2090,313,355,365,365,365
2091,313,355,365,365,365
2092,313,355,365,365,365
2093,313,355,365,365,365
2094,313,355,365,365,365
2095,313,355,365,365,365
2096,313,355,365,365,365
2097,313,355,365,365,365
2098,313,355,365,365,365
2099,313,355,365,365,365
2100,313,355,365,365,365
2101,313,355,365,365,365
2102,313,355,365,365,365
2103,313,355,365,365,365
2104,313,355,365,365,365
2105,313,355,365,365,365
2106,313,355,365,365,365
2107,313,355,365,365,365
2108,313,355,365,365,365
2109,313,355,365,365,365
2110,313,355,365,365,365
2111,313,355,365,365,365
2112,313,355,365,365,365
2113,313,355,365,365,365
2114,313,355,365,365,365
2115,313,355,365,365,365
2116,313,355,365,365,365
2117,313,355,365,365,365
2118,313,355,365,365,365
2119,313,355,365,365,365
2120,313,355,365,365,365
2121,313,355,365,365,365
2122,313,355,365,365,365
2123,313,355,365,365,365
2124,313,355,365,365,365
2125,313,355,365,365,365
2126,313,355,365,365,365
2127,313,355,365,365,365
2128,313,355,365,365,365
2129,313,355,365,365,365
2130,313,355,365,365,365
2131,313,355,365,365,365
2132,313,355,365,365,365
2133,313,355,365,365,365
2134,313,355,365,365,365
2135,313,355,365,365,365
2136,313,355,365,365,365
2137,313,355,365,365,365
2138,313,355,365,365,365
2139,313,355,365,365,365
2140,313,355,365,365,365
2141,313,355,365,365,365
2142,313,355,365,365,365
2143,313,355,365,365,365
2144,313,355,365,365,365
2145,313,355,365,365,365
2146,313,355,365,365,365
2147,313,355,365,365,365
2148,313,355,365,365,365
2149,313,355,365,365,365
2150,313,355,365,365,365
2151,313,355,365,365,365
2152,313,355,365,365,365
2153,313,355,365,365,365
2154,313,355,365,365,365
2155,313,355,365,365,365
2156,313,355,365,365,365
2157,313,355,365,365,365
2158,313,355,365,365,365
2159,313,355,365,365,365
2160,313,355,365,365,365
2161,313,355,365,365,365
2162,313,355,365,365,365
2163,313,355,365,365,365
2164,313,355,365,365,365
2165,313,355,365,365,365
2166,313,355,365,365,365
2167,313,355,365,365,365
2168,313,355,365,365,365
2169,313,355,365,365,365
2170,313,355,365,365,365
2171,313,355,365,365,365
2172,313,355,365,365,365
2173,313,355,365,365,365
2174,313,355,365,365,365
2175,313,355,365,365,365
2176,313,355,365,365,365
2177,313,355,365,365,365
2178,313,355,365,365,365
2179,313,355,365,365,365
2180,313,355,365,365,365
2181,313,355,365,365,365
2182,313,355,365,365,365
2183,313,355,365,365,365
2184,313,355,365,365,365
2185,313,355,365,365,365
2186,313,355,365,365,365
2187,313,355,365,365,365
2188,313,355,365,365,365
2189,313,355,365,365,365
2190,313,355,365,365,365
2191,313,355,365,365,365
2192,313,355,365,365,365
2193,313,355,365,365,365
2194,313,355,365,365,365
2195,313,355,365,365,365
2196,313,355,365,365,365
2197,313,355,365,365,365
2198,313,355,365,365,365
2199,313,355,365,365,365
2200,313,355,365,365,365
