Year,5th,17th,50th,83th,95th
2020,23,26,34,42,47
2021,28,31,41,50,54
2022,35,39,48,61,67
2023,41,46,59,71,77
2024,49,53,65,80,87
2025,49,53,65,80,87
2026,58,65,78,93,99
2027,65,71,86,101,109
2028,76,85,101,114,123
2029,88,100,120,133,138
2030,114,124,146,160,164
2031,132,143,165,181,186
2032,168,178,199,213,218
2033,191,205,224,237,246
2034,219,228,247,260,268
2035,234,242,259,273,281
2036,244,254,271,285,290
2037,252,265,281,294,299
2038,264,275,291,305,312
2039,275,284,300,313,317
2040,276,292,308,321,324
2041,298,304,321,332,335
2042,303,315,332,340,344
2043,311,323,338,346,349
2044,315,333,345,352,354
2045,320,337,350,356,358
2046,323,342,355,359,361
2047,323,344,356,361,362
2048,326,345,358,362,364
2049,327,346,359,363,365
2050,328,348,360,364,365
2051,329,348,361,365,365
2052,330,349,362,365,365
2053,331,350,362,365,365
2054,331,350,363,365,365
2055,331,350,364,365,365
2056,333,351,365,365,365
2057,335,351,365,365,365
2058,335,351,365,365,365
2059,336,351,365,365,365
2060,336,351,365,365,365
2061,336,351,365,365,365
2062,336,351,365,365,365
2063,336,351,365,365,365
2064,336,351,365,365,365
2065,336,351,365,365,365
2066,336,351,365,365,365
2067,336,351,365,365,365
2068,336,351,365,365,365
2069,336,351,365,365,365
2070,336,351,365,365,365
2071,336,351,365,365,365
2072,336,351,365,365,365
2073,336,351,365,365,365
2074,336,351,365,365,365
2075,336,351,365,365,365
2076,336,351,365,365,365
2077,336,351,365,365,365
2078,336,351,365,365,365
2079,336,351,365,365,365
2080,336,351,365,365,365
2081,336,351,365,365,365
2082,336,351,365,365,365
2083,336,351,365,365,365
2084,336,351,365,365,365
2085,336,351,365,365,365
2086,336,351,365,365,365
2087,336,351,365,365,365
2088,336,351,365,365,365
2089,336,351,365,365,365
2090,336,351,365,365,365
2091,336,351,365,365,365
2092,336,351,365,365,365
2093,336,351,365,365,365
2094,336,351,365,365,365
2095,336,351,365,365,365
2096,336,351,365,365,365
2097,336,351,365,365,365
2098,336,351,365,365,365
2099,336,351,365,365,365
2100,336,351,365,365,365
2101,336,351,365,365,365
2102,336,351,365,365,365
2103,336,351,365,365,365
2104,336,351,365,365,365
2105,336,351,365,365,365
2106,336,351,365,365,365
2107,336,351,365,365,365
2108,336,351,365,365,365
2109,336,351,365,365,365
2110,336,351,365,365,365
2111,336,351,365,365,365
2112,336,351,365,365,365
2113,336,351,365,365,365
2114,336,351,365,365,365
2115,336,351,365,365,365
2116,336,351,365,365,365
2117,336,351,365,365,365
2118,336,351,365,365,365
2119,336,351,365,365,365
2120,336,351,365,365,365
2121,336,351,365,365,365
2122,336,351,365,365,365
2123,336,351,365,365,365
2124,336,351,365,365,365
2125,336,351,365,365,365
2126,336,351,365,365,365
2127,336,351,365,365,365
2128,336,351,365,365,365
2129,336,351,365,365,365
2130,336,351,365,365,365
2131,336,351,365,365,365
2132,336,351,365,365,365
2133,336,351,365,365,365
2134,336,351,365,365,365
2135,336,351,365,365,365
2136,336,351,365,365,365
2137,336,351,365,365,365
2138,336,351,365,365,365
2139,336,351,365,365,365
2140,336,351,365,365,365
2141,336,351,365,365,365
2142,336,351,365,365,365
2143,336,351,365,365,365
2144,336,351,365,365,365
2145,336,351,365,365,365
2146,336,351,365,365,365
2147,336,351,365,365,365
2148,336,351,365,365,365
2149,336,351,365,365,365
2150,336,351,365,365,365
2151,336,351,365,365,365
2152,336,351,365,365,365
2153,336,351,365,365,365
2154,336,351,365,365,365
2155,336,351,365,365,365
2156,336,351,365,365,365
2157,336,351,365,365,365
2158,336,351,365,365,365
2159,336,351,365,365,365
2160,336,351,365,365,365
2161,336,351,365,365,365
2162,336,351,365,365,365
2163,336,351,365,365,365
2164,336,351,365,365,365
2165,336,351,365,365,365
2166,336,351,365,365,365
2167,336,351,365,365,365
2168,336,351,365,365,365
2169,336,351,365,365,365
2170,336,351,365,365,365
2171,336,351,365,365,365
2172,336,351,365,365,365
2173,336,351,365,365,365
2174,336,351,365,365,365
2175,336,351,365,365,365
2176,336,351,365,365,365
2177,336,351,365,365,365
2178,336,351,365,365,365
2179,336,351,365,365,365
2180,336,351,365,365,365
2181,336,351,365,365,365
2182,336,351,365,365,365
2183,336,351,365,365,365
2184,336,351,365,365,365
2185,336,351,365,365,365
2186,336,351,365,365,365
2187,336,351,365,365,365
2188,336,351,365,365,365
2189,336,351,365,365,365
2190,336,351,365,365,365
2191,336,351,365,365,365
2192,336,351,365,365,365
2193,336,351,365,365,365
2194,336,351,365,365,365
2195,336,351,365,365,365
2196,336,351,365,365,365
2197,336,351,365,365,365
2198,336,351,365,365,365
2199,336,351,365,365,365
2200,336,351,365,365,365
