Year,5th,17th,50th,83th,95th
2020,8,10,14,19,21
2021,4,6,10,15,17
2022,5,7,12,16,18
2023,6,8,13,17,19
2024,9,12,17,21,23
2025,9,11,15,20,22
2026,9,11,15,20,22
2027,9,11,15,20,22
2028,21,23,30,35,37
2029,26,29,35,41,43
2030,34,37,43,49,52
2031,39,43,50,55,58
2032,57,61,71,76,79
2033,69,73,84,92,95
2034,71,76,88,95,97
2035,64,68,79,85,89
2036,64,68,79,85,89
2037,78,85,98,106,112
2038,78,85,98,106,112
2039,69,73,84,92,95
2040,71,76,88,95,97
2041,91,100,112,122,126
2042,113,119,136,150,153
2043,122,129,145,160,165
2044,122,129,145,160,165
2045,155,164,184,201,208
2046,189,200,221,240,248
2047,191,203,225,244,252
2048,180,190,211,227,237
2049,208,215,241,259,269
2050,226,247,272,290,295
2051,245,271,293,309,312
2052,245,271,293,309,312
2053,263,290,310,322,327
2054,276,311,328,337,342
2055,287,327,343,354,357
2056,291,333,349,359,362
2057,291,333,349,359,362
2058,288,331,345,356,359
2059,293,337,355,362,365
2060,295,338,357,364,365
2061,295,338,357,364,365
2062,294,338,356,363,365
2063,299,344,363,365,365
2064,301,345,364,365,365
2065,301,345,364,365,365
2066,301,345,364,365,365
2067,301,345,364,365,365
2068,301,345,364,365,365
2069,301,345,364,365,365
2070,301,345,364,365,365
2071,301,345,364,365,365
2072,301,345,364,365,365
2073,301,345,364,365,365
2074,301,345,364,365,365
2075,301,345,364,365,365
2076,301,345,364,365,365
2077,301,345,364,365,365
2078,301,345,364,365,365
2079,301,345,364,365,365
2080,301,345,364,365,365
2081,301,345,364,365,365
2082,301,345,364,365,365
2083,301,345,364,365,365
2084,301,345,364,365,365
2085,301,345,364,365,365
2086,301,345,364,365,365
2087,301,345,364,365,365
2088,301,345,364,365,365
2089,301,345,364,365,365
2090,301,345,364,365,365
2091,301,345,364,365,365
2092,301,345,364,365,365
2093,301,345,364,365,365
2094,301,345,364,365,365
2095,301,345,364,365,365
2096,301,345,364,365,365
2097,301,345,364,365,365
2098,301,345,364,365,365
2099,301,345,364,365,365
2100,301,345,364,365,365
2101,301,345,364,365,365
2102,301,345,364,365,365
2103,301,345,364,365,365
2104,301,345,364,365,365
2105,301,345,364,365,365
2106,301,345,364,365,365
2107,301,345,364,365,365
2108,301,345,364,365,365
2109,301,345,364,365,365
2110,301,345,364,365,365
2111,301,345,364,365,365
2112,301,345,364,365,365
2113,301,345,364,365,365
2114,301,345,364,365,365
2115,301,345,364,365,365
2116,301,345,364,365,365
2117,301,345,364,365,365
2118,301,345,364,365,365
2119,301,345,364,365,365
2120,301,345,364,365,365
2121,301,345,364,365,365
2122,301,345,364,365,365
2123,301,345,364,365,365
2124,301,345,364,365,365
2125,301,345,364,365,365
2126,301,345,364,365,365
2127,301,345,364,365,365
2128,301,345,364,365,365
2129,301,345,364,365,365
2130,301,345,364,365,365
2131,301,345,364,365,365
2132,301,345,364,365,365
2133,301,345,364,365,365
2134,301,345,364,365,365
2135,301,345,364,365,365
2136,301,345,364,365,365
2137,301,345,364,365,365
2138,301,345,364,365,365
2139,301,345,364,365,365
2140,301,345,364,365,365
2141,301,345,364,365,365
2142,301,345,364,365,365
2143,301,345,364,365,365
2144,301,345,364,365,365
2145,301,345,364,365,365
2146,301,345,364,365,365
2147,301,345,364,365,365
2148,301,345,364,365,365
2149,301,345,364,365,365
2150,301,345,364,365,365
2151,301,345,364,365,365
2152,301,345,364,365,365
2153,301,345,364,365,365
2154,301,345,364,365,365
2155,301,345,364,365,365
2156,301,345,364,365,365
2157,301,345,364,365,365
2158,301,345,364,365,365
2159,301,345,364,365,365
2160,301,345,364,365,365
2161,301,345,364,365,365
2162,301,345,364,365,365
2163,301,345,364,365,365
2164,301,345,364,365,365
2165,301,345,364,365,365
2166,301,345,364,365,365
2167,301,345,364,365,365
2168,301,345,364,365,365
2169,301,345,364,365,365
2170,301,345,364,365,365
2171,301,345,364,365,365
2172,301,345,364,365,365
2173,301,345,364,365,365
2174,301,345,364,365,365
2175,301,345,364,365,365
2176,301,345,364,365,365
2177,301,345,364,365,365
2178,301,345,364,365,365
2179,301,345,364,365,365
2180,301,345,364,365,365
2181,301,345,364,365,365
2182,301,345,364,365,365
2183,301,345,364,365,365
2184,301,345,364,365,365
2185,301,345,364,365,365
2186,301,345,364,365,365
2187,301,345,364,365,365
2188,301,345,364,365,365
2189,301,345,364,365,365
2190,301,345,364,365,365
2191,301,345,364,365,365
2192,301,345,364,365,365
2193,301,345,364,365,365
2194,301,345,364,365,365
2195,301,345,364,365,365
2196,301,345,364,365,365
2197,301,345,364,365,365
2198,301,345,364,365,365
2199,301,345,364,365,365
2200,301,345,364,365,365
