Year,5th,17th,50th,83th,95th
2020,4,6,11,15,17
2021,3,4,9,13,14
2022,3,4,9,13,14
2023,3,4,9,13,14
2024,5,7,12,17,19
2025,4,6,11,15,17
2026,5,7,12,17,19
2027,5,7,12,17,19
2028,13,16,23,29,31
2029,23,25,31,37,40
2030,29,32,37,43,46
2031,30,33,39,45,48
2032,49,53,61,68,70
2033,65,68,74,82,86
2034,61,65,71,79,82
2035,55,61,69,76,80
2036,55,61,69,76,80
2037,72,74,81,89,92
2038,78,80,88,98,102
2039,68,71,77,86,90
2040,72,74,81,89,92
2041,93,98,107,116,120
2042,119,125,138,150,157
2043,125,130,143,155,161
2044,128,135,148,160,167
2045,153,165,180,192,199
2046,181,196,213,225,236
2047,190,201,218,231,239
2048,190,201,218,231,239
2049,209,222,240,254,262
2050,243,257,276,287,294
2051,264,276,292,305,311
2052,269,280,295,309,317
2053,289,301,314,325,330
2054,310,318,329,340,344
2055,332,339,347,356,360
2056,332,339,347,356,360
2057,338,344,352,359,362
2058,335,343,351,359,362
2059,343,349,357,363,365
2060,345,350,358,364,365
2061,347,353,360,365,365
2062,347,353,360,365,365
2063,353,358,364,365,365
2064,354,360,365,365,365
2065,354,361,365,365,365
2066,354,361,365,365,365
2067,354,361,365,365,365
2068,354,361,365,365,365
2069,354,361,365,365,365
2070,354,361,365,365,365
2071,354,361,365,365,365
2072,354,361,365,365,365
2073,354,361,365,365,365
2074,354,361,365,365,365
2075,354,361,365,365,365
2076,354,361,365,365,365
2077,354,361,365,365,365
2078,354,361,365,365,365
2079,354,361,365,365,365
2080,354,361,365,365,365
2081,354,361,365,365,365
2082,354,361,365,365,365
2083,354,361,365,365,365
2084,354,361,365,365,365
2085,354,361,365,365,365
2086,354,361,365,365,365
2087,354,361,365,365,365
2088,354,361,365,365,365
2089,354,361,365,365,365
2090,354,361,365,365,365
2091,354,361,365,365,365
2092,354,361,365,365,365
2093,354,361,365,365,365
2094,354,361,365,365,365
2095,354,361,365,365,365
2096,354,361,365,365,365
2097,354,361,365,365,365
2098,354,361,365,365,365
2099,354,361,365,365,365
2100,354,361,365,365,365
2101,354,361,365,365,365
2102,354,361,365,365,365
2103,354,361,365,365,365
2104,354,361,365,365,365
2105,354,361,365,365,365
2106,354,361,365,365,365
2107,354,361,365,365,365
2108,354,361,365,365,365
2109,354,361,365,365,365
2110,354,361,365,365,365
2111,354,361,365,365,365
2112,354,361,365,365,365
2113,354,361,365,365,365
2114,354,361,365,365,365
2115,354,361,365,365,365
2116,354,361,365,365,365
2117,354,361,365,365,365
2118,354,361,365,365,365
2119,354,361,365,365,365
2120,354,361,365,365,365
2121,354,361,365,365,365
2122,354,361,365,365,365
2123,354,361,365,365,365
2124,354,361,365,365,365
2125,354,361,365,365,365
2126,354,361,365,365,365
2127,354,361,365,365,365
2128,354,361,365,365,365
2129,354,361,365,365,365
2130,354,361,365,365,365
2131,354,361,365,365,365
2132,354,361,365,365,365
2133,354,361,365,365,365
2134,354,361,365,365,365
2135,354,361,365,365,365
2136,354,361,365,365,365
2137,354,361,365,365,365
2138,354,361,365,365,365
2139,354,361,365,365,365
2140,354,361,365,365,365
2141,354,361,365,365,365
2142,354,361,365,365,365
2143,354,361,365,365,365
2144,354,361,365,365,365
2145,354,361,365,365,365
2146,354,361,365,365,365
2147,354,361,365,365,365
2148,354,361,365,365,365
2149,354,361,365,365,365
2150,354,361,365,365,365
2151,354,361,365,365,365
2152,354,361,365,365,365
2153,354,361,365,365,365
2154,354,361,365,365,365
2155,354,361,365,365,365
2156,354,361,365,365,365
2157,354,361,365,365,365
2158,354,361,365,365,365
2159,354,361,365,365,365
2160,354,361,365,365,365
2161,354,361,365,365,365
2162,354,361,365,365,365
2163,354,361,365,365,365
2164,354,361,365,365,365
2165,354,361,365,365,365
2166,354,361,365,365,365
2167,354,361,365,365,365
2168,354,361,365,365,365
2169,354,361,365,365,365
2170,354,361,365,365,365
2171,354,361,365,365,365
2172,354,361,365,365,365
2173,354,361,365,365,365
2174,354,361,365,365,365
2175,354,361,365,365,365
2176,354,361,365,365,365
2177,354,361,365,365,365
2178,354,361,365,365,365
2179,354,361,365,365,365
2180,354,361,365,365,365
2181,354,361,365,365,365
2182,354,361,365,365,365
2183,354,361,365,365,365
2184,354,361,365,365,365
2185,354,361,365,365,365
2186,354,361,365,365,365
2187,354,361,365,365,365
2188,354,361,365,365,365
2189,354,361,365,365,365
2190,354,361,365,365,365
2191,354,361,365,365,365
2192,354,361,365,365,365
2193,354,361,365,365,365
2194,354,361,365,365,365
2195,354,361,365,365,365
2196,354,361,365,365,365
2197,354,361,365,365,365
2198,354,361,365,365,365
2199,354,361,365,365,365
2200,354,361,365,365,365
