Year,5th,17th,50th,83th,95th
2020,25,27,36,45,50
2021,34,37,44,53,59
2022,40,44,53,63,69
2023,51,55,63,75,78
2024,62,66,76,88,93
2025,80,84,95,109,113
2026,80,84,95,109,113
2027,87,91,100,114,120
2028,87,91,100,114,120
2029,100,103,115,130,135
2030,106,110,123,138,142
2031,118,122,135,154,159
2032,131,136,152,170,175
2033,150,157,175,192,199
2034,168,181,198,216,222
2035,185,201,222,239,244
2036,193,207,228,247,253
2037,205,221,240,260,266
2038,219,238,260,279,284
2039,236,259,283,298,305
2040,236,259,283,298,305
2041,247,268,296,312,318
2042,256,278,309,323,328
2043,268,288,322,335,340
2044,272,295,330,341,347
2045,280,300,337,347,350
2046,286,304,340,350,352
2047,292,309,347,355,358
2048,293,311,349,357,359
2049,294,313,351,358,361
2050,295,314,353,360,362
2051,297,317,356,361,364
2052,300,319,358,363,365
2053,301,319,359,364,365
2054,303,320,361,365,365
2055,304,322,362,365,365
2056,304,322,363,365,365
2057,304,323,364,365,365
2058,304,323,364,365,365
2059,305,324,364,365,365
2060,305,324,365,365,365
2061,305,324,365,365,365
2062,305,324,365,365,365
2063,305,324,365,365,365
2064,305,324,365,365,365
2065,305,324,365,365,365
2066,305,324,365,365,365
2067,305,324,365,365,365
2068,305,324,365,365,365
2069,305,324,365,365,365
2070,305,324,365,365,365
2071,305,324,365,365,365
2072,305,324,365,365,365
2073,305,324,365,365,365
2074,305,324,365,365,365
2075,305,324,365,365,365
2076,305,324,365,365,365
2077,305,324,365,365,365
2078,305,324,365,365,365
2079,305,324,365,365,365
2080,305,324,365,365,365
2081,305,324,365,365,365
2082,305,324,365,365,365
2083,305,324,365,365,365
2084,305,324,365,365,365
2085,305,324,365,365,365
2086,305,324,365,365,365
2087,305,324,365,365,365
2088,305,324,365,365,365
2089,305,324,365,365,365
2090,305,324,365,365,365
2091,305,324,365,365,365
2092,305,324,365,365,365
2093,305,324,365,365,365
2094,305,324,365,365,365
2095,305,324,365,365,365
2096,305,324,365,365,365
2097,305,324,365,365,365
2098,305,324,365,365,365
2099,305,324,365,365,365
2100,305,324,365,365,365
2101,305,324,365,365,365
2102,305,324,365,365,365
2103,305,324,365,365,365
2104,305,324,365,365,365
2105,305,324,365,365,365
2106,305,324,365,365,365
2107,305,324,365,365,365
2108,305,324,365,365,365
2109,305,324,365,365,365
2110,305,324,365,365,365
2111,305,324,365,365,365
2112,305,324,365,365,365
2113,305,324,365,365,365
2114,305,324,365,365,365
2115,305,324,365,365,365
2116,305,324,365,365,365
2117,305,324,365,365,365
2118,305,324,365,365,365
2119,305,324,365,365,365
2120,305,324,365,365,365
2121,305,324,365,365,365
2122,305,324,365,365,365
2123,305,324,365,365,365
2124,305,324,365,365,365
2125,305,324,365,365,365
2126,305,324,365,365,365
2127,305,324,365,365,365
2128,305,324,365,365,365
2129,305,324,365,365,365
2130,305,324,365,365,365
2131,305,324,365,365,365
2132,305,324,365,365,365
2133,305,324,365,365,365
2134,305,324,365,365,365
2135,305,324,365,365,365
2136,305,324,365,365,365
2137,305,324,365,365,365
2138,305,324,365,365,365
2139,305,324,365,365,365
2140,305,324,365,365,365
2141,305,324,365,365,365
2142,305,324,365,365,365
2143,305,324,365,365,365
2144,305,324,365,365,365
2145,305,324,365,365,365
2146,305,324,365,365,365
2147,305,324,365,365,365
2148,305,324,365,365,365
2149,305,324,365,365,365
2150,305,324,365,365,365
2151,305,324,365,365,365
2152,305,324,365,365,365
2153,305,324,365,365,365
2154,305,324,365,365,365
2155,305,324,365,365,365
2156,305,324,365,365,365
2157,305,324,365,365,365
2158,305,324,365,365,365
2159,305,324,365,365,365
2160,305,324,365,365,365
2161,305,324,365,365,365
2162,305,324,365,365,365
2163,305,324,365,365,365
2164,305,324,365,365,365
2165,305,324,365,365,365
2166,305,324,365,365,365
2167,305,324,365,365,365
2168,305,324,365,365,365
2169,305,324,365,365,365
2170,305,324,365,365,365
2171,305,324,365,365,365
2172,305,324,365,365,365
2173,305,324,365,365,365
2174,305,324,365,365,365
2175,305,324,365,365,365
2176,305,324,365,365,365
2177,305,324,365,365,365
2178,305,324,365,365,365
2179,305,324,365,365,365
2180,305,324,365,365,365
2181,305,324,365,365,365
2182,305,324,365,365,365
2183,305,324,365,365,365
2184,305,324,365,365,365
2185,305,324,365,365,365
2186,305,324,365,365,365
2187,305,324,365,365,365
2188,305,324,365,365,365
2189,305,324,365,365,365
2190,305,324,365,365,365
2191,305,324,365,365,365
2192,305,324,365,365,365
2193,305,324,365,365,365
2194,305,324,365,365,365
2195,305,324,365,365,365
2196,305,324,365,365,365
2197,305,324,365,365,365
2198,305,324,365,365,365
2199,305,324,365,365,365
2200,305,324,365,365,365
