Year,5th,17th,50th,83th,95th
2020,53,59,71,82,86
2021,53,59,71,82,86
2022,57,63,76,87,92
2023,57,63,76,87,92
2024,71,77,91,102,107
2025,71,77,91,102,107
2026,78,87,101,112,117
2027,90,97,112,126,131
2028,107,113,130,146,152
2029,135,141,162,176,186
2030,143,148,168,183,195
2031,162,168,189,207,217
2032,182,189,209,229,239
2033,203,217,237,259,267
2034,209,224,242,264,273
2035,209,224,242,264,273
2036,224,239,257,276,285
2037,234,250,267,288,293
2038,252,267,284,301,309
2039,256,271,290,306,315
2040,269,282,300,315,322
2041,281,301,322,336,340
2042,287,316,332,343,347
2043,293,327,341,349,352
2044,298,339,348,356,359
2045,301,343,352,358,360
2046,304,349,357,362,364
2047,308,352,360,364,365
2048,308,353,361,365,365
2049,310,356,363,365,365
2050,313,357,364,365,365
2051,316,360,365,365,365
2052,316,360,365,365,365
2053,316,361,365,365,365
2054,317,361,365,365,365
2055,317,361,365,365,365
2056,317,361,365,365,365
2057,317,361,365,365,365
2058,317,361,365,365,365
2059,317,361,365,365,365
2060,317,361,365,365,365
2061,317,361,365,365,365
2062,317,361,365,365,365
2063,317,361,365,365,365
2064,317,361,365,365,365
2065,317,361,365,365,365
2066,317,361,365,365,365
2067,317,361,365,365,365
2068,317,361,365,365,365
2069,317,361,365,365,365
2070,317,361,365,365,365
2071,317,361,365,365,365
2072,317,361,365,365,365
2073,317,361,365,365,365
2074,317,361,365,365,365
2075,317,361,365,365,365
2076,317,361,365,365,365
2077,317,361,365,365,365
2078,317,361,365,365,365
2079,317,361,365,365,365
2080,317,361,365,365,365
2081,317,361,365,365,365
2082,317,361,365,365,365
2083,317,361,365,365,365
2084,317,361,365,365,365
2085,317,361,365,365,365
2086,317,361,365,365,365
2087,317,361,365,365,365
2088,317,361,365,365,365
2089,317,361,365,365,365
2090,317,361,365,365,365
2091,317,361,365,365,365
2092,317,361,365,365,365
2093,317,361,365,365,365
2094,317,361,365,365,365
2095,317,361,365,365,365
2096,317,361,365,365,365
2097,317,361,365,365,365
2098,317,361,365,365,365
2099,317,361,365,365,365
2100,317,361,365,365,365
2101,317,361,365,365,365
2102,317,361,365,365,365
2103,317,361,365,365,365
2104,317,361,365,365,365
2105,317,361,365,365,365
2106,317,361,365,365,365
2107,317,361,365,365,365
2108,317,361,365,365,365
2109,317,361,365,365,365
2110,317,361,365,365,365
2111,317,361,365,365,365
2112,317,361,365,365,365
2113,317,361,365,365,365
2114,317,361,365,365,365
2115,317,361,365,365,365
2116,317,361,365,365,365
2117,317,361,365,365,365
2118,317,361,365,365,365
2119,317,361,365,365,365
2120,317,361,365,365,365
2121,317,361,365,365,365
2122,317,361,365,365,365
2123,317,361,365,365,365
2124,317,361,365,365,365
2125,317,361,365,365,365
2126,317,361,365,365,365
2127,317,361,365,365,365
2128,317,361,365,365,365
2129,317,361,365,365,365
2130,317,361,365,365,365
2131,317,361,365,365,365
2132,317,361,365,365,365
2133,317,361,365,365,365
2134,317,361,365,365,365
2135,317,361,365,365,365
2136,317,361,365,365,365
2137,317,361,365,365,365
2138,317,361,365,365,365
2139,317,361,365,365,365
2140,317,361,365,365,365
2141,317,361,365,365,365
2142,317,361,365,365,365
2143,317,361,365,365,365
2144,317,361,365,365,365
2145,317,361,365,365,365
2146,317,361,365,365,365
2147,317,361,365,365,365
2148,317,361,365,365,365
2149,317,361,365,365,365
2150,317,361,365,365,365
2151,317,361,365,365,365
2152,317,361,365,365,365
2153,317,361,365,365,365
2154,317,361,365,365,365
2155,317,361,365,365,365
2156,317,361,365,365,365
2157,317,361,365,365,365
2158,317,361,365,365,365
2159,317,361,365,365,365
2160,317,361,365,365,365
2161,317,361,365,365,365
2162,317,361,365,365,365
2163,317,361,365,365,365
2164,317,361,365,365,365
2165,317,361,365,365,365
2166,317,361,365,365,365
2167,317,361,365,365,365
2168,317,361,365,365,365
2169,317,361,365,365,365
2170,317,361,365,365,365
2171,317,361,365,365,365
2172,317,361,365,365,365
2173,317,361,365,365,365
2174,317,361,365,365,365
2175,317,361,365,365,365
2176,317,361,365,365,365
2177,317,361,365,365,365
2178,317,361,365,365,365
2179,317,361,365,365,365
2180,317,361,365,365,365
2181,317,361,365,365,365
2182,317,361,365,365,365
2183,317,361,365,365,365
2184,317,361,365,365,365
2185,317,361,365,365,365
2186,317,361,365,365,365
2187,317,361,365,365,365
2188,317,361,365,365,365
2189,317,361,365,365,365
2190,317,361,365,365,365
2191,317,361,365,365,365
2192,317,361,365,365,365
2193,317,361,365,365,365
2194,317,361,365,365,365
2195,317,361,365,365,365
2196,317,361,365,365,365
2197,317,361,365,365,365
2198,317,361,365,365,365
2199,317,361,365,365,365
2200,317,361,365,365,365
