Year,5th,17th,50th,83th,95th
2020,1,1,4,8,10
2021,1,1,4,8,10
2022,1,1,5,10,12
2023,1,2,6,10,13
2024,1,2,6,11,14
2025,2,4,9,14,16
2026,5,7,12,17,19
2027,3,5,11,15,18
2028,4,6,11,16,18
2029,6,8,13,18,20
2030,7,9,14,19,22
2031,4,6,11,16,18
2032,6,8,13,18,20
2033,10,12,16,22,24
2034,17,19,26,32,36
2035,18,21,27,34,38
2036,22,25,32,40,44
2037,29,32,39,49,53
2038,41,44,54,63,68
2039,38,40,48,56,62
2040,40,42,50,59,64
2041,40,42,50,59,64
2042,50,56,65,73,81
2043,59,65,76,86,92
2044,71,76,88,99,103
2045,85,89,103,113,119
2046,108,118,135,146,151
2047,136,141,157,171,178
2048,136,141,157,171,178
2049,141,155,168,187,192
2050,152,161,175,191,200
2051,158,173,187,204,211
2052,169,178,192,209,219
2053,190,204,222,242,248
2054,208,214,233,252,263
2055,227,236,257,275,286
2056,255,266,283,299,303
2057,284,298,313,325,330
2058,291,307,321,331,336
2059,292,310,324,334,339
2060,309,325,336,346,349
2061,315,333,345,354,357
2062,312,329,340,350,353
2063,318,336,349,357,360
2064,324,344,357,363,365
2065,329,351,363,365,365
2066,329,352,363,365,365
2067,329,354,364,365,365
2068,330,355,365,365,365
2069,330,357,365,365,365
2070,330,357,365,365,365
2071,330,357,365,365,365
2072,330,358,365,365,365
2073,330,359,365,365,365
2074,330,359,365,365,365
2075,330,359,365,365,365
2076,330,359,365,365,365
2077,330,359,365,365,365
2078,330,359,365,365,365
2079,330,359,365,365,365
2080,330,359,365,365,365
2081,330,359,365,365,365
2082,330,359,365,365,365
2083,330,359,365,365,365
2084,330,359,365,365,365
2085,330,359,365,365,365
2086,330,359,365,365,365
2087,330,359,365,365,365
2088,330,359,365,365,365
2089,330,359,365,365,365
2090,330,359,365,365,365
2091,330,359,365,365,365
2092,330,359,365,365,365
2093,330,359,365,365,365
2094,330,359,365,365,365
2095,330,359,365,365,365
2096,330,359,365,365,365
2097,330,359,365,365,365
2098,330,359,365,365,365
2099,330,359,365,365,365
2100,330,359,365,365,365
2101,330,359,365,365,365
2102,330,359,365,365,365
2103,330,359,365,365,365
2104,330,359,365,365,365
2105,330,359,365,365,365
2106,330,359,365,365,365
2107,330,359,365,365,365
2108,330,359,365,365,365
2109,330,359,365,365,365
2110,330,359,365,365,365
2111,330,359,365,365,365
2112,330,359,365,365,365
2113,330,359,365,365,365
2114,330,359,365,365,365
2115,330,359,365,365,365
2116,330,359,365,365,365
2117,330,359,365,365,365
2118,330,359,365,365,365
2119,330,359,365,365,365
2120,330,359,365,365,365
2121,330,359,365,365,365
2122,330,359,365,365,365
2123,330,359,365,365,365
2124,330,359,365,365,365
2125,330,359,365,365,365
2126,330,359,365,365,365
2127,330,359,365,365,365
2128,330,359,365,365,365
2129,330,359,365,365,365
2130,330,359,365,365,365
2131,330,359,365,365,365
2132,330,359,365,365,365
2133,330,359,365,365,365
2134,330,359,365,365,365
2135,330,359,365,365,365
2136,330,359,365,365,365
2137,330,359,365,365,365
2138,330,359,365,365,365
2139,330,359,365,365,365
2140,330,359,365,365,365
2141,330,359,365,365,365
2142,330,359,365,365,365
2143,330,359,365,365,365
2144,330,359,365,365,365
2145,330,359,365,365,365
2146,330,359,365,365,365
2147,330,359,365,365,365
2148,330,359,365,365,365
2149,330,359,365,365,365
2150,330,359,365,365,365
2151,330,359,365,365,365
2152,330,359,365,365,365
2153,330,359,365,365,365
2154,330,359,365,365,365
2155,330,359,365,365,365
2156,330,359,365,365,365
2157,330,359,365,365,365
2158,330,359,365,365,365
2159,330,359,365,365,365
2160,330,359,365,365,365
2161,330,359,365,365,365
2162,330,359,365,365,365
2163,330,359,365,365,365
2164,330,359,365,365,365
2165,330,359,365,365,365
2166,330,359,365,365,365
2167,330,359,365,365,365
2168,330,359,365,365,365
2169,330,359,365,365,365
2170,330,359,365,365,365
2171,330,359,365,365,365
2172,330,359,365,365,365
2173,330,359,365,365,365
2174,330,359,365,365,365
2175,330,359,365,365,365
2176,330,359,365,365,365
2177,330,359,365,365,365
2178,330,359,365,365,365
2179,330,359,365,365,365
2180,330,359,365,365,365
2181,330,359,365,365,365
2182,330,359,365,365,365
2183,330,359,365,365,365
2184,330,359,365,365,365
2185,330,359,365,365,365
2186,330,359,365,365,365
2187,330,359,365,365,365
2188,330,359,365,365,365
2189,330,359,365,365,365
2190,330,359,365,365,365
2191,330,359,365,365,365
2192,330,359,365,365,365
2193,330,359,365,365,365
2194,330,359,365,365,365
2195,330,359,365,365,365
2196,330,359,365,365,365
2197,330,359,365,365,365
2198,330,359,365,365,365
2199,330,359,365,365,365
2200,330,359,365,365,365
