Year,5th,17th,50th,83th,95th
2020,29,32,38,43,46
2021,22,24,30,36,38
2022,14,17,22,27,29
2023,18,20,25,31,33
2024,26,29,35,41,43
2025,22,24,30,36,38
2026,18,20,25,31,33
2027,22,24,30,36,38
2028,39,42,49,56,58
2029,45,48,56,63,65
2030,44,47,54,61,64
2031,49,52,61,68,71
2032,69,72,82,95,98
2033,82,87,97,112,115
2034,79,83,93,106,109
2035,69,72,82,95,98
2036,69,73,83,97,101
2037,82,87,97,112,115
2038,86,89,99,113,117
2039,65,67,76,88,92
2040,63,66,74,85,88
2041,82,87,97,112,115
2042,101,104,119,134,137
2043,89,93,103,118,122
2044,82,87,97,112,115
2045,108,112,126,144,149
2046,132,139,156,176,187
2047,138,144,162,182,196
2048,120,124,141,161,166
2049,152,160,181,204,215
2050,182,191,212,235,247
2051,213,219,240,263,275
2052,206,213,235,259,272
2053,213,219,240,263,275
2054,228,241,261,281,292
2055,240,261,287,300,306
2056,239,259,283,298,305
2057,230,244,266,286,293
2058,228,241,261,281,292
2059,240,261,289,302,308
2060,243,266,293,305,311
2061,238,257,280,296,304
2062,230,244,266,286,293
2063,250,272,304,313,318
2064,259,281,312,321,326
2065,259,281,312,321,326
2066,259,281,312,321,326
2067,259,281,312,321,326
2068,259,281,312,321,326
2069,259,281,312,321,326
2070,259,281,312,321,326
2071,259,281,312,321,326
2072,259,281,312,321,326
2073,259,281,312,321,326
2074,259,281,312,321,326
2075,259,281,312,321,326
2076,259,281,312,321,326
2077,259,281,312,321,326
2078,259,281,312,321,326
2079,259,281,312,321,326
2080,259,281,312,321,326
2081,259,281,312,321,326
2082,259,281,312,321,326
2083,259,281,312,321,326
2084,259,281,312,321,326
2085,259,281,312,321,326
2086,259,281,312,321,326
2087,259,281,312,321,326
2088,259,281,312,321,326
2089,259,281,312,321,326
2090,259,281,312,321,326
2091,259,281,312,321,326
2092,259,281,312,321,326
2093,259,281,312,321,326
2094,259,281,312,321,326
2095,259,281,312,321,326
2096,259,281,312,321,326
2097,259,281,312,321,326
2098,259,281,312,321,326
2099,259,281,312,321,326
2100,259,281,312,321,326
2101,259,281,312,321,326
2102,259,281,312,321,326
2103,259,281,312,321,326
2104,259,281,312,321,326
2105,259,281,312,321,326
2106,259,281,312,321,326
2107,259,281,312,321,326
2108,259,281,312,321,326
2109,259,281,312,321,326
2110,259,281,312,321,326
2111,259,281,312,321,326
2112,259,281,312,321,326
2113,259,281,312,321,326
2114,259,281,312,321,326
2115,259,281,312,321,326
2116,259,281,312,321,326
2117,259,281,312,321,326
2118,259,281,312,321,326
2119,259,281,312,321,326
2120,259,281,312,321,326
2121,259,281,312,321,326
2122,259,281,312,321,326
2123,259,281,312,321,326
2124,259,281,312,321,326
2125,259,281,312,321,326
2126,259,281,312,321,326
2127,259,281,312,321,326
2128,259,281,312,321,326
2129,259,281,312,321,326
2130,259,281,312,321,326
2131,259,281,312,321,326
2132,259,281,312,321,326
2133,259,281,312,321,326
2134,259,281,312,321,326
2135,259,281,312,321,326
2136,259,281,312,321,326
2137,259,281,312,321,326
2138,259,281,312,321,326
2139,259,281,312,321,326
2140,259,281,312,321,326
2141,259,281,312,321,326
2142,259,281,312,321,326
2143,259,281,312,321,326
2144,259,281,312,321,326
2145,259,281,312,321,326
2146,259,281,312,321,326
2147,259,281,312,321,326
2148,259,281,312,321,326
2149,259,281,312,321,326
2150,259,281,312,321,326
2151,259,281,312,321,326
2152,259,281,312,321,326
2153,259,281,312,321,326
2154,259,281,312,321,326
2155,259,281,312,321,326
2156,259,281,312,321,326
2157,259,281,312,321,326
2158,259,281,312,321,326
2159,259,281,312,321,326
2160,259,281,312,321,326
2161,259,281,312,321,326
2162,259,281,312,321,326
2163,259,281,312,321,326
2164,259,281,312,321,326
2165,259,281,312,321,326
2166,259,281,312,321,326
2167,259,281,312,321,326
2168,259,281,312,321,326
2169,259,281,312,321,326
2170,259,281,312,321,326
2171,259,281,312,321,326
2172,259,281,312,321,326
2173,259,281,312,321,326
2174,259,281,312,321,326
2175,259,281,312,321,326
2176,259,281,312,321,326
2177,259,281,312,321,326
2178,259,281,312,321,326
2179,259,281,312,321,326
2180,259,281,312,321,326
2181,259,281,312,321,326
2182,259,281,312,321,326
2183,259,281,312,321,326
2184,259,281,312,321,326
2185,259,281,312,321,326
2186,259,281,312,321,326
2187,259,281,312,321,326
2188,259,281,312,321,326
2189,259,281,312,321,326
2190,259,281,312,321,326
2191,259,281,312,321,326
2192,259,281,312,321,326
2193,259,281,312,321,326
2194,259,281,312,321,326
2195,259,281,312,321,326
2196,259,281,312,321,326
2197,259,281,312,321,326
2198,259,281,312,321,326
2199,259,281,312,321,326
2200,259,281,312,321,326
