Year,5th,17th,50th,83th,95th
2020,22,25,32,39,42
2021,15,18,25,31,35
2022,22,25,32,39,42
2023,22,25,32,39,42
2024,28,31,40,46,49
2025,27,29,38,44,46
2026,35,38,46,53,56
2027,41,45,53,61,65
2028,51,55,64,72,76
2029,65,69,78,90,93
2030,74,78,87,98,101
2031,81,85,97,108,110
2032,96,104,117,127,132
2033,116,122,138,150,157
2034,131,138,153,167,176
2035,131,138,153,167,176
2036,136,147,159,174,182
2037,157,164,177,194,201
2038,163,167,184,201,207
2039,157,164,177,194,201
2040,175,180,197,217,222
2041,203,208,225,248,254
2042,228,233,247,271,277
2043,240,243,259,280,285
2044,258,264,279,299,304
2045,276,280,294,310,314
2046,287,293,307,321,326
2047,297,306,318,330,335
2048,302,309,322,334,337
2049,317,322,335,345,348
2050,330,336,346,354,356
2051,337,345,354,361,363
2052,340,348,357,362,365
2053,343,353,361,365,365
2054,345,354,361,365,365
2055,347,356,363,365,365
2056,347,357,364,365,365
2057,347,357,364,365,365
2058,348,358,364,365,365
2059,348,359,365,365,365
2060,348,360,365,365,365
2061,349,360,365,365,365
2062,349,360,365,365,365
2063,349,360,365,365,365
2064,349,360,365,365,365
2065,349,360,365,365,365
2066,349,360,365,365,365
2067,349,360,365,365,365
2068,349,360,365,365,365
2069,349,360,365,365,365
2070,349,360,365,365,365
2071,349,360,365,365,365
2072,349,360,365,365,365
2073,349,360,365,365,365
2074,349,360,365,365,365
2075,349,360,365,365,365
2076,349,360,365,365,365
2077,349,360,365,365,365
2078,349,360,365,365,365
2079,349,360,365,365,365
2080,349,360,365,365,365
2081,349,360,365,365,365
2082,349,360,365,365,365
2083,349,360,365,365,365
2084,349,360,365,365,365
2085,349,360,365,365,365
2086,349,360,365,365,365
2087,349,360,365,365,365
2088,349,360,365,365,365
2089,349,360,365,365,365
2090,349,360,365,365,365
2091,349,360,365,365,365
2092,349,360,365,365,365
2093,349,360,365,365,365
2094,349,360,365,365,365
2095,349,360,365,365,365
2096,349,360,365,365,365
2097,349,360,365,365,365
2098,349,360,365,365,365
2099,349,360,365,365,365
2100,349,360,365,365,365
2101,349,360,365,365,365
2102,349,360,365,365,365
2103,349,360,365,365,365
2104,349,360,365,365,365
2105,349,360,365,365,365
2106,349,360,365,365,365
2107,349,360,365,365,365
2108,349,360,365,365,365
2109,349,360,365,365,365
2110,349,360,365,365,365
2111,349,360,365,365,365
2112,349,360,365,365,365
2113,349,360,365,365,365
2114,349,360,365,365,365
2115,349,360,365,365,365
2116,349,360,365,365,365
2117,349,360,365,365,365
2118,349,360,365,365,365
2119,349,360,365,365,365
2120,349,360,365,365,365
2121,349,360,365,365,365
2122,349,360,365,365,365
2123,349,360,365,365,365
2124,349,360,365,365,365
2125,349,360,365,365,365
2126,349,360,365,365,365
2127,349,360,365,365,365
2128,349,360,365,365,365
2129,349,360,365,365,365
2130,349,360,365,365,365
2131,349,360,365,365,365
2132,349,360,365,365,365
2133,349,360,365,365,365
2134,349,360,365,365,365
2135,349,360,365,365,365
2136,349,360,365,365,365
2137,349,360,365,365,365
2138,349,360,365,365,365
2139,349,360,365,365,365
2140,349,360,365,365,365
2141,349,360,365,365,365
2142,349,360,365,365,365
2143,349,360,365,365,365
2144,349,360,365,365,365
2145,349,360,365,365,365
2146,349,360,365,365,365
2147,349,360,365,365,365
2148,349,360,365,365,365
2149,349,360,365,365,365
2150,349,360,365,365,365
2151,349,360,365,365,365
2152,349,360,365,365,365
2153,349,360,365,365,365
2154,349,360,365,365,365
2155,349,360,365,365,365
2156,349,360,365,365,365
2157,349,360,365,365,365
2158,349,360,365,365,365
2159,349,360,365,365,365
2160,349,360,365,365,365
2161,349,360,365,365,365
2162,349,360,365,365,365
2163,349,360,365,365,365
2164,349,360,365,365,365
2165,349,360,365,365,365
2166,349,360,365,365,365
2167,349,360,365,365,365
2168,349,360,365,365,365
2169,349,360,365,365,365
2170,349,360,365,365,365
2171,349,360,365,365,365
2172,349,360,365,365,365
2173,349,360,365,365,365
2174,349,360,365,365,365
2175,349,360,365,365,365
2176,349,360,365,365,365
2177,349,360,365,365,365
2178,349,360,365,365,365
2179,349,360,365,365,365
2180,349,360,365,365,365
2181,349,360,365,365,365
2182,349,360,365,365,365
2183,349,360,365,365,365
2184,349,360,365,365,365
2185,349,360,365,365,365
2186,349,360,365,365,365
2187,349,360,365,365,365
2188,349,360,365,365,365
2189,349,360,365,365,365
2190,349,360,365,365,365
2191,349,360,365,365,365
2192,349,360,365,365,365
2193,349,360,365,365,365
2194,349,360,365,365,365
2195,349,360,365,365,365
2196,349,360,365,365,365
2197,349,360,365,365,365
2198,349,360,365,365,365
2199,349,360,365,365,365
2200,349,360,365,365,365
