Year,5th,17th,50th,83th,95th
2020,1,1,3,7,9
2021,1,1,4,8,10
2022,1,1,5,9,11
2023,1,2,6,11,13
2024,1,2,7,12,15
2025,1,4,9,15,19
2026,1,4,10,16,20
2027,1,4,10,16,20
2028,1,4,9,15,19
2029,2,4,11,17,21
2030,1,4,9,15,19
2031,1,3,9,14,18
2032,1,4,9,15,19
2033,3,6,14,20,24
2034,5,9,17,24,28
2035,7,11,19,27,31
2036,10,15,24,31,36
2037,15,20,31,39,43
2038,21,25,36,46,51
2039,24,28,39,48,54
2040,26,30,41,52,57
2041,36,44,55,67,72
2042,43,51,62,76,79
2043,49,58,69,85,89
2044,66,71,87,104,110
2045,92,98,114,137,148
2046,99,110,126,150,164
2047,102,115,134,159,168
2048,115,126,148,174,185
2049,122,131,155,184,194
2050,115,126,148,174,185
2051,122,131,155,184,194
2052,141,157,186,213,225
2053,156,176,199,229,236
2054,178,198,229,261,270
2055,222,241,277,300,308
2056,264,282,312,332,338
2057,300,307,334,348,352
2058,312,320,344,355,358
2059,323,331,352,360,363
2060,336,346,360,365,365
2061,343,351,363,365,365
2062,346,352,364,365,365
2063,348,358,365,365,365
2064,349,362,365,365,365
2065,350,362,365,365,365
2066,350,362,365,365,365
2067,350,363,365,365,365
2068,350,363,365,365,365
2069,350,363,365,365,365
2070,350,363,365,365,365
2071,350,363,365,365,365
2072,350,363,365,365,365
2073,350,363,365,365,365
2074,350,363,365,365,365
2075,350,363,365,365,365
2076,350,363,365,365,365
2077,350,363,365,365,365
2078,350,363,365,365,365
2079,350,363,365,365,365
2080,350,363,365,365,365
2081,350,363,365,365,365
2082,350,363,365,365,365
2083,350,363,365,365,365
2084,350,363,365,365,365
2085,350,363,365,365,365
2086,350,363,365,365,365
2087,350,363,365,365,365
2088,350,363,365,365,365
2089,350,363,365,365,365
2090,350,363,365,365,365
2091,350,363,365,365,365
2092,350,363,365,365,365
2093,350,363,365,365,365
2094,350,363,365,365,365
2095,350,363,365,365,365
2096,350,363,365,365,365
2097,350,363,365,365,365
2098,350,363,365,365,365
2099,350,363,365,365,365
2100,350,363,365,365,365
2101,350,363,365,365,365
2102,350,363,365,365,365
2103,350,363,365,365,365
2104,350,363,365,365,365
2105,350,363,365,365,365
2106,350,363,365,365,365
2107,350,363,365,365,365
2108,350,363,365,365,365
2109,350,363,365,365,365
2110,350,363,365,365,365
2111,350,363,365,365,365
2112,350,363,365,365,365
2113,350,363,365,365,365
2114,350,363,365,365,365
2115,350,363,365,365,365
2116,350,363,365,365,365
2117,350,363,365,365,365
2118,350,363,365,365,365
2119,350,363,365,365,365
2120,350,363,365,365,365
2121,350,363,365,365,365
2122,350,363,365,365,365
2123,350,363,365,365,365
2124,350,363,365,365,365
2125,350,363,365,365,365
2126,350,363,365,365,365
2127,350,363,365,365,365
2128,350,363,365,365,365
2129,350,363,365,365,365
2130,350,363,365,365,365
2131,350,363,365,365,365
2132,350,363,365,365,365
2133,350,363,365,365,365
2134,350,363,365,365,365
2135,350,363,365,365,365
2136,350,363,365,365,365
2137,350,363,365,365,365
2138,350,363,365,365,365
2139,350,363,365,365,365
2140,350,363,365,365,365
2141,350,363,365,365,365
2142,350,363,365,365,365
2143,350,363,365,365,365
2144,350,363,365,365,365
2145,350,363,365,365,365
2146,350,363,365,365,365
2147,350,363,365,365,365
2148,350,363,365,365,365
2149,350,363,365,365,365
2150,350,363,365,365,365
2151,350,363,365,365,365
2152,350,363,365,365,365
2153,350,363,365,365,365
2154,350,363,365,365,365
2155,350,363,365,365,365
2156,350,363,365,365,365
2157,350,363,365,365,365
2158,350,363,365,365,365
2159,350,363,365,365,365
2160,350,363,365,365,365
2161,350,363,365,365,365
2162,350,363,365,365,365
2163,350,363,365,365,365
2164,350,363,365,365,365
2165,350,363,365,365,365
2166,350,363,365,365,365
2167,350,363,365,365,365
2168,350,363,365,365,365
2169,350,363,365,365,365
2170,350,363,365,365,365
2171,350,363,365,365,365
2172,350,363,365,365,365
2173,350,363,365,365,365
2174,350,363,365,365,365
2175,350,363,365,365,365
2176,350,363,365,365,365
2177,350,363,365,365,365
2178,350,363,365,365,365
2179,350,363,365,365,365
2180,350,363,365,365,365
2181,350,363,365,365,365
2182,350,363,365,365,365
2183,350,363,365,365,365
2184,350,363,365,365,365
2185,350,363,365,365,365
2186,350,363,365,365,365
2187,350,363,365,365,365
2188,350,363,365,365,365
2189,350,363,365,365,365
2190,350,363,365,365,365
2191,350,363,365,365,365
2192,350,363,365,365,365
2193,350,363,365,365,365
2194,350,363,365,365,365
2195,350,363,365,365,365
2196,350,363,365,365,365
2197,350,363,365,365,365
2198,350,363,365,365,365
2199,350,363,365,365,365
2200,350,363,365,365,365
