Year,5th,17th,50th,83th,95th
2020,1,1,3,6,7
2021,1,1,3,7,9
2022,1,1,4,8,10
2023,1,1,5,9,11
2024,1,2,6,10,12
2025,1,2,7,11,14
2026,1,3,7,12,14
2027,2,3,8,13,15
2028,2,4,8,14,16
2029,3,5,9,15,18
2030,3,5,10,17,20
2031,5,7,13,19,23
2032,8,12,18,24,28
2033,11,15,22,30,34
2034,19,23,30,40,44
2035,28,31,41,52,56
2036,41,47,60,75,83
2037,61,68,87,107,117
2038,71,80,102,123,131
2039,93,103,129,150,159
2040,131,138,166,191,210
2041,162,173,209,237,254
2042,187,201,238,272,282
2043,210,231,266,297,305
2044,244,262,291,316,324
2045,280,295,316,334,339
2046,297,313,332,345,349
2047,306,321,339,350,353
2048,326,332,347,356,358
2049,335,339,351,359,361
2050,341,346,356,362,364
2051,343,349,358,363,365
2052,344,351,360,364,365
2053,348,357,362,365,365
2054,352,359,364,365,365
2055,352,360,365,365,365
2056,353,361,365,365,365
2057,353,362,365,365,365
2058,353,362,365,365,365
2059,353,362,365,365,365
2060,353,362,365,365,365
2061,353,362,365,365,365
2062,353,362,365,365,365
2063,353,362,365,365,365
2064,353,362,365,365,365
2065,353,362,365,365,365
2066,353,362,365,365,365
2067,353,362,365,365,365
2068,353,362,365,365,365
2069,353,362,365,365,365
2070,353,362,365,365,365
2071,353,362,365,365,365
2072,353,362,365,365,365
2073,353,362,365,365,365
2074,353,362,365,365,365
2075,353,362,365,365,365
2076,353,362,365,365,365
2077,353,362,365,365,365
2078,353,362,365,365,365
2079,353,362,365,365,365
2080,353,362,365,365,365
2081,353,362,365,365,365
2082,353,362,365,365,365
2083,353,362,365,365,365
2084,353,362,365,365,365
2085,353,362,365,365,365
2086,353,362,365,365,365
2087,353,362,365,365,365
2088,353,362,365,365,365
2089,353,362,365,365,365
2090,353,362,365,365,365
2091,353,362,365,365,365
2092,353,362,365,365,365
2093,353,362,365,365,365
2094,353,362,365,365,365
2095,353,362,365,365,365
2096,353,362,365,365,365
2097,353,362,365,365,365
2098,353,362,365,365,365
2099,353,362,365,365,365
2100,353,362,365,365,365
2101,353,362,365,365,365
2102,353,362,365,365,365
2103,353,362,365,365,365
2104,353,362,365,365,365
2105,353,362,365,365,365
2106,353,362,365,365,365
2107,353,362,365,365,365
2108,353,362,365,365,365
2109,353,362,365,365,365
2110,353,362,365,365,365
2111,353,362,365,365,365
2112,353,362,365,365,365
2113,353,362,365,365,365
2114,353,362,365,365,365
2115,353,362,365,365,365
2116,353,362,365,365,365
2117,353,362,365,365,365
2118,353,362,365,365,365
2119,353,362,365,365,365
2120,353,362,365,365,365
2121,353,362,365,365,365
2122,353,362,365,365,365
2123,353,362,365,365,365
2124,353,362,365,365,365
2125,353,362,365,365,365
2126,353,362,365,365,365
2127,353,362,365,365,365
2128,353,362,365,365,365
2129,353,362,365,365,365
2130,353,362,365,365,365
2131,353,362,365,365,365
2132,353,362,365,365,365
2133,353,362,365,365,365
2134,353,362,365,365,365
2135,353,362,365,365,365
2136,353,362,365,365,365
2137,353,362,365,365,365
2138,353,362,365,365,365
2139,353,362,365,365,365
2140,353,362,365,365,365
2141,353,362,365,365,365
2142,353,362,365,365,365
2143,353,362,365,365,365
2144,353,362,365,365,365
2145,353,362,365,365,365
2146,353,362,365,365,365
2147,353,362,365,365,365
2148,353,362,365,365,365
2149,353,362,365,365,365
2150,353,362,365,365,365
2151,353,362,365,365,365
2152,353,362,365,365,365
2153,353,362,365,365,365
2154,353,362,365,365,365
2155,353,362,365,365,365
2156,353,362,365,365,365
2157,353,362,365,365,365
2158,353,362,365,365,365
2159,353,362,365,365,365
2160,353,362,365,365,365
2161,353,362,365,365,365
2162,353,362,365,365,365
2163,353,362,365,365,365
2164,353,362,365,365,365
2165,353,362,365,365,365
2166,353,362,365,365,365
2167,353,362,365,365,365
2168,353,362,365,365,365
2169,353,362,365,365,365
2170,353,362,365,365,365
2171,353,362,365,365,365
2172,353,362,365,365,365
2173,353,362,365,365,365
2174,353,362,365,365,365
2175,353,362,365,365,365
2176,353,362,365,365,365
2177,353,362,365,365,365
2178,353,362,365,365,365
2179,353,362,365,365,365
2180,353,362,365,365,365
2181,353,362,365,365,365
2182,353,362,365,365,365
2183,353,362,365,365,365
2184,353,362,365,365,365
2185,353,362,365,365,365
2186,353,362,365,365,365
2187,353,362,365,365,365
2188,353,362,365,365,365
2189,353,362,365,365,365
2190,353,362,365,365,365
2191,353,362,365,365,365
2192,353,362,365,365,365
2193,353,362,365,365,365
2194,353,362,365,365,365
2195,353,362,365,365,365
2196,353,362,365,365,365
2197,353,362,365,365,365
2198,353,362,365,365,365
2199,353,362,365,365,365
2200,353,362,365,365,365
