Year,5th,17th,50th,83th,95th
2020,17,20,29,39,44
2021,24,29,40,50,55
2022,42,47,60,70,75
2023,56,62,76,89,95
2024,75,80,94,111,117
2025,81,87,103,122,129
2026,92,104,114,133,143
2027,105,111,125,145,156
2028,112,117,136,154,170
2029,126,136,148,167,177
2030,137,146,159,183,189
2031,172,181,195,218,228
2032,194,204,221,240,250
2033,220,226,243,263,282
2034,247,262,275,299,309
2035,272,287,306,324,332
2036,293,310,327,342,349
2037,306,321,340,352,357
2038,319,332,350,359,362
2039,325,337,355,362,365
2040,334,344,361,365,365
2041,337,346,364,365,365
2042,338,348,365,365,365
2043,338,349,365,365,365
2044,338,349,365,365,365
2045,338,349,365,365,365
2046,338,349,365,365,365
2047,338,349,365,365,365
2048,338,349,365,365,365
2049,338,350,365,365,365
2050,338,350,365,365,365
2051,338,350,365,365,365
2052,338,350,365,365,365
2053,338,350,365,365,365
2054,338,350,365,365,365
2055,338,350,365,365,365
2056,338,350,365,365,365
2057,338,350,365,365,365
2058,338,350,365,365,365
2059,338,350,365,365,365
2060,338,350,365,365,365
2061,338,350,365,365,365
2062,338,350,365,365,365
2063,338,350,365,365,365
2064,338,350,365,365,365
2065,338,350,365,365,365
2066,338,350,365,365,365
2067,338,350,365,365,365
2068,338,350,365,365,365
2069,338,350,365,365,365
2070,338,350,365,365,365
2071,338,350,365,365,365
2072,338,350,365,365,365
2073,338,350,365,365,365
2074,338,350,365,365,365
2075,338,350,365,365,365
2076,338,350,365,365,365
2077,338,350,365,365,365
2078,338,350,365,365,365
2079,338,350,365,365,365
2080,338,350,365,365,365
2081,338,350,365,365,365
2082,338,350,365,365,365
2083,338,350,365,365,365
2084,338,350,365,365,365
2085,338,350,365,365,365
2086,338,350,365,365,365
2087,338,350,365,365,365
2088,338,350,365,365,365
2089,338,350,365,365,365
2090,338,350,365,365,365
2091,338,350,365,365,365
2092,338,350,365,365,365
2093,338,350,365,365,365
2094,338,350,365,365,365
2095,338,350,365,365,365
2096,338,350,365,365,365
2097,338,350,365,365,365
2098,338,350,365,365,365
2099,338,350,365,365,365
2100,338,350,365,365,365
2101,338,350,365,365,365
2102,338,350,365,365,365
2103,338,350,365,365,365
2104,338,350,365,365,365
2105,338,350,365,365,365
2106,338,350,365,365,365
2107,338,350,365,365,365
2108,338,350,365,365,365
2109,338,350,365,365,365
2110,338,350,365,365,365
2111,338,350,365,365,365
2112,338,350,365,365,365
2113,338,350,365,365,365
2114,338,350,365,365,365
2115,338,350,365,365,365
2116,338,350,365,365,365
2117,338,350,365,365,365
2118,338,350,365,365,365
2119,338,350,365,365,365
2120,338,350,365,365,365
2121,338,350,365,365,365
2122,338,350,365,365,365
2123,338,350,365,365,365
2124,338,350,365,365,365
2125,338,350,365,365,365
2126,338,350,365,365,365
2127,338,350,365,365,365
2128,338,350,365,365,365
2129,338,350,365,365,365
2130,338,350,365,365,365
2131,338,350,365,365,365
2132,338,350,365,365,365
2133,338,350,365,365,365
2134,338,350,365,365,365
2135,338,350,365,365,365
2136,338,350,365,365,365
2137,338,350,365,365,365
2138,338,350,365,365,365
2139,338,350,365,365,365
2140,338,350,365,365,365
2141,338,350,365,365,365
2142,338,350,365,365,365
2143,338,350,365,365,365
2144,338,350,365,365,365
2145,338,350,365,365,365
2146,338,350,365,365,365
2147,338,350,365,365,365
2148,338,350,365,365,365
2149,338,350,365,365,365
2150,338,350,365,365,365
2151,338,350,365,365,365
2152,338,350,365,365,365
2153,338,350,365,365,365
2154,338,350,365,365,365
2155,338,350,365,365,365
2156,338,350,365,365,365
2157,338,350,365,365,365
2158,338,350,365,365,365
2159,338,350,365,365,365
2160,338,350,365,365,365
2161,338,350,365,365,365
2162,338,350,365,365,365
2163,338,350,365,365,365
2164,338,350,365,365,365
2165,338,350,365,365,365
2166,338,350,365,365,365
2167,338,350,365,365,365
2168,338,350,365,365,365
2169,338,350,365,365,365
2170,338,350,365,365,365
2171,338,350,365,365,365
2172,338,350,365,365,365
2173,338,350,365,365,365
2174,338,350,365,365,365
2175,338,350,365,365,365
2176,338,350,365,365,365
2177,338,350,365,365,365
2178,338,350,365,365,365
2179,338,350,365,365,365
2180,338,350,365,365,365
2181,338,350,365,365,365
2182,338,350,365,365,365
2183,338,350,365,365,365
2184,338,350,365,365,365
2185,338,350,365,365,365
2186,338,350,365,365,365
2187,338,350,365,365,365
2188,338,350,365,365,365
2189,338,350,365,365,365
2190,338,350,365,365,365
2191,338,350,365,365,365
2192,338,350,365,365,365
2193,338,350,365,365,365
2194,338,350,365,365,365
2195,338,350,365,365,365
2196,338,350,365,365,365
2197,338,350,365,365,365
2198,338,350,365,365,365
2199,338,350,365,365,365
2200,338,350,365,365,365
