Year,5th,17th,50th,83th,95th
2020,1,3,7,11,13
2021,1,3,7,11,13
2022,5,8,13,18,20
2023,7,10,15,20,22
2024,13,16,21,26,28
2025,21,23,27,32,34
2026,32,34,39,45,48
2027,27,29,34,39,41
2028,27,29,34,39,41
2029,27,29,34,39,41
2030,35,37,42,48,51
2031,29,31,36,42,44
2032,32,34,39,45,48
2033,39,41,48,55,58
2034,57,60,69,77,82
2035,66,68,78,87,91
2036,79,82,96,107,110
2037,88,91,107,117,121
2038,102,108,123,133,137
2039,113,120,132,143,147
2040,113,120,132,143,147
2041,128,137,148,159,163
2042,135,145,159,169,177
2043,149,155,170,181,188
2044,176,182,199,209,212
2045,211,217,233,244,247
2046,227,232,248,260,265
2047,244,250,269,281,285
2048,248,256,273,287,291
2049,262,271,288,302,308
2050,257,266,283,296,301
2051,262,271,288,302,308
2052,276,285,304,316,320
2053,296,307,323,333,336
2054,305,311,330,340,343
2055,320,330,346,354,357
2056,326,341,357,363,365
2057,331,350,363,365,365
2058,332,350,364,365,365
2059,332,351,365,365,365
2060,333,353,365,365,365
2061,334,353,365,365,365
2062,334,353,365,365,365
2063,334,353,365,365,365
2064,334,353,365,365,365
2065,334,354,365,365,365
2066,334,354,365,365,365
2067,334,354,365,365,365
2068,334,354,365,365,365
2069,334,354,365,365,365
2070,334,354,365,365,365
2071,334,354,365,365,365
2072,334,354,365,365,365
2073,334,354,365,365,365
2074,334,354,365,365,365
2075,334,354,365,365,365
2076,334,354,365,365,365
2077,334,354,365,365,365
2078,334,354,365,365,365
2079,334,354,365,365,365
2080,334,354,365,365,365
2081,334,354,365,365,365
2082,334,354,365,365,365
2083,334,354,365,365,365
2084,334,354,365,365,365
2085,334,354,365,365,365
2086,334,354,365,365,365
2087,334,354,365,365,365
2088,334,354,365,365,365
2089,334,354,365,365,365
2090,334,354,365,365,365
2091,334,354,365,365,365
2092,334,354,365,365,365
2093,334,354,365,365,365
2094,334,354,365,365,365
2095,334,354,365,365,365
2096,334,354,365,365,365
2097,334,354,365,365,365
2098,334,354,365,365,365
2099,334,354,365,365,365
2100,334,354,365,365,365
2101,334,354,365,365,365
2102,334,354,365,365,365
2103,334,354,365,365,365
2104,334,354,365,365,365
2105,334,354,365,365,365
2106,334,354,365,365,365
2107,334,354,365,365,365
2108,334,354,365,365,365
2109,334,354,365,365,365
2110,334,354,365,365,365
2111,334,354,365,365,365
2112,334,354,365,365,365
2113,334,354,365,365,365
2114,334,354,365,365,365
2115,334,354,365,365,365
2116,334,354,365,365,365
2117,334,354,365,365,365
2118,334,354,365,365,365
2119,334,354,365,365,365
2120,334,354,365,365,365
2121,334,354,365,365,365
2122,334,354,365,365,365
2123,334,354,365,365,365
2124,334,354,365,365,365
2125,334,354,365,365,365
2126,334,354,365,365,365
2127,334,354,365,365,365
2128,334,354,365,365,365
2129,334,354,365,365,365
2130,334,354,365,365,365
2131,334,354,365,365,365
2132,334,354,365,365,365
2133,334,354,365,365,365
2134,334,354,365,365,365
2135,334,354,365,365,365
2136,334,354,365,365,365
2137,334,354,365,365,365
2138,334,354,365,365,365
2139,334,354,365,365,365
2140,334,354,365,365,365
2141,334,354,365,365,365
2142,334,354,365,365,365
2143,334,354,365,365,365
2144,334,354,365,365,365
2145,334,354,365,365,365
2146,334,354,365,365,365
2147,334,354,365,365,365
2148,334,354,365,365,365
2149,334,354,365,365,365
2150,334,354,365,365,365
2151,334,354,365,365,365
2152,334,354,365,365,365
2153,334,354,365,365,365
2154,334,354,365,365,365
2155,334,354,365,365,365
2156,334,354,365,365,365
2157,334,354,365,365,365
2158,334,354,365,365,365
2159,334,354,365,365,365
2160,334,354,365,365,365
2161,334,354,365,365,365
2162,334,354,365,365,365
2163,334,354,365,365,365
2164,334,354,365,365,365
2165,334,354,365,365,365
2166,334,354,365,365,365
2167,334,354,365,365,365
2168,334,354,365,365,365
2169,334,354,365,365,365
2170,334,354,365,365,365
2171,334,354,365,365,365
2172,334,354,365,365,365
2173,334,354,365,365,365
2174,334,354,365,365,365
2175,334,354,365,365,365
2176,334,354,365,365,365
2177,334,354,365,365,365
2178,334,354,365,365,365
2179,334,354,365,365,365
2180,334,354,365,365,365
2181,334,354,365,365,365
2182,334,354,365,365,365
2183,334,354,365,365,365
2184,334,354,365,365,365
2185,334,354,365,365,365
2186,334,354,365,365,365
2187,334,354,365,365,365
2188,334,354,365,365,365
2189,334,354,365,365,365
2190,334,354,365,365,365
2191,334,354,365,365,365
2192,334,354,365,365,365
2193,334,354,365,365,365
2194,334,354,365,365,365
2195,334,354,365,365,365
2196,334,354,365,365,365
2197,334,354,365,365,365
2198,334,354,365,365,365
2199,334,354,365,365,365
2200,334,354,365,365,365
