Year,5th,17th,50th,83th,95th
2020,1,1,4,7,9
2021,1,1,4,8,10
2022,3,5,9,13,15
2023,3,5,9,13,15
2024,8,10,15,19,21
2025,13,15,19,24,26
2026,23,26,30,34,37
2027,19,21,26,30,31
2028,19,21,26,30,31
2029,17,19,23,28,30
2030,22,24,28,32,33
2031,19,21,26,30,31
2032,22,24,28,32,33
2033,28,30,35,39,41
2034,40,44,51,58,61
2035,47,49,58,64,67
2036,57,60,70,78,83
2037,64,68,79,87,91
2038,75,80,94,102,107
2039,79,83,97,107,110
2040,83,87,102,111,115
2041,93,98,111,121,125
2042,108,114,125,137,143
2043,119,126,138,149,153
2044,146,154,165,176,181
2045,173,180,193,206,211
2046,191,197,210,222,227
2047,214,220,232,246,251
2048,218,225,238,255,260
2049,234,239,255,270,274
2050,230,234,250,262,269
2051,234,239,255,270,274
2052,244,250,266,277,284
2053,269,273,289,303,307
2054,279,286,301,312,317
2055,309,315,328,336,340
2056,324,335,343,351,353
2057,343,350,357,363,365
2058,343,350,357,363,365
2059,346,354,361,365,365
2060,349,357,363,365,365
2061,351,360,365,365,365
2062,351,361,365,365,365
2063,352,361,365,365,365
2064,352,362,365,365,365
2065,353,362,365,365,365
2066,353,362,365,365,365
2067,353,362,365,365,365
2068,353,362,365,365,365
2069,353,362,365,365,365
2070,353,362,365,365,365
2071,353,362,365,365,365
2072,353,362,365,365,365
2073,353,362,365,365,365
2074,353,362,365,365,365
2075,353,362,365,365,365
2076,353,362,365,365,365
2077,353,362,365,365,365
2078,353,362,365,365,365
2079,353,362,365,365,365
2080,353,362,365,365,365
2081,353,362,365,365,365
2082,353,362,365,365,365
2083,353,362,365,365,365
2084,353,362,365,365,365
2085,353,362,365,365,365
2086,353,362,365,365,365
2087,353,362,365,365,365
2088,353,362,365,365,365
2089,353,362,365,365,365
2090,353,362,365,365,365
2091,353,362,365,365,365
2092,353,362,365,365,365
2093,353,362,365,365,365
2094,353,362,365,365,365
2095,353,362,365,365,365
2096,353,362,365,365,365
2097,353,362,365,365,365
2098,353,362,365,365,365
2099,353,362,365,365,365
2100,353,362,365,365,365
2101,353,362,365,365,365
2102,353,362,365,365,365
2103,353,362,365,365,365
2104,353,362,365,365,365
2105,353,362,365,365,365
2106,353,362,365,365,365
2107,353,362,365,365,365
2108,353,362,365,365,365
2109,353,362,365,365,365
2110,353,362,365,365,365
2111,353,362,365,365,365
2112,353,362,365,365,365
2113,353,362,365,365,365
2114,353,362,365,365,365
2115,353,362,365,365,365
2116,353,362,365,365,365
2117,353,362,365,365,365
2118,353,362,365,365,365
2119,353,362,365,365,365
2120,353,362,365,365,365
2121,353,362,365,365,365
2122,353,362,365,365,365
2123,353,362,365,365,365
2124,353,362,365,365,365
2125,353,362,365,365,365
2126,353,362,365,365,365
2127,353,362,365,365,365
2128,353,362,365,365,365
2129,353,362,365,365,365
2130,353,362,365,365,365
2131,353,362,365,365,365
2132,353,362,365,365,365
2133,353,362,365,365,365
2134,353,362,365,365,365
2135,353,362,365,365,365
2136,353,362,365,365,365
2137,353,362,365,365,365
2138,353,362,365,365,365
2139,353,362,365,365,365
2140,353,362,365,365,365
2141,353,362,365,365,365
2142,353,362,365,365,365
2143,353,362,365,365,365
2144,353,362,365,365,365
2145,353,362,365,365,365
2146,353,362,365,365,365
2147,353,362,365,365,365
2148,353,362,365,365,365
2149,353,362,365,365,365
2150,353,362,365,365,365
2151,353,362,365,365,365
2152,353,362,365,365,365
2153,353,362,365,365,365
2154,353,362,365,365,365
2155,353,362,365,365,365
2156,353,362,365,365,365
2157,353,362,365,365,365
2158,353,362,365,365,365
2159,353,362,365,365,365
2160,353,362,365,365,365
2161,353,362,365,365,365
2162,353,362,365,365,365
2163,353,362,365,365,365
2164,353,362,365,365,365
2165,353,362,365,365,365
2166,353,362,365,365,365
2167,353,362,365,365,365
2168,353,362,365,365,365
2169,353,362,365,365,365
2170,353,362,365,365,365
2171,353,362,365,365,365
2172,353,362,365,365,365
2173,353,362,365,365,365
2174,353,362,365,365,365
2175,353,362,365,365,365
2176,353,362,365,365,365
2177,353,362,365,365,365
2178,353,362,365,365,365
2179,353,362,365,365,365
2180,353,362,365,365,365
2181,353,362,365,365,365
2182,353,362,365,365,365
2183,353,362,365,365,365
2184,353,362,365,365,365
2185,353,362,365,365,365
2186,353,362,365,365,365
2187,353,362,365,365,365
2188,353,362,365,365,365
2189,353,362,365,365,365
2190,353,362,365,365,365
2191,353,362,365,365,365
2192,353,362,365,365,365
2193,353,362,365,365,365
2194,353,362,365,365,365
2195,353,362,365,365,365
2196,353,362,365,365,365
2197,353,362,365,365,365
2198,353,362,365,365,365
2199,353,362,365,365,365
2200,353,362,365,365,365
