Year,5th,17th,50th,83th,95th
2020,1,1,4,7,9
2021,1,1,4,8,10
2022,1,2,5,9,11
2023,1,2,5,9,11
2024,1,2,6,9,12
2025,1,2,6,10,13
2026,1,2,6,10,13
2027,1,3,7,11,14
2028,3,5,9,14,17
2029,6,8,13,18,21
2030,10,13,18,23,26
2031,16,18,24,30,32
2032,27,30,37,44,47
2033,37,41,49,57,61
2034,45,49,58,69,73
2035,45,49,58,69,73
2036,49,54,64,75,80
2037,61,65,76,91,95
2038,73,76,91,108,112
2039,90,94,115,133,138
2040,109,117,139,159,167
2041,143,149,176,194,204
2042,193,201,224,244,251
2043,232,244,267,287,296
2044,259,269,294,312,317
2045,270,283,301,321,329
2046,279,296,317,336,341
2047,290,305,334,348,352
2048,290,305,334,348,352
2049,291,309,336,350,353
2050,298,315,344,354,357
2051,300,322,351,360,362
2052,304,326,355,362,365
2053,305,329,359,365,365
2054,309,332,362,365,365
2055,309,333,363,365,365
2056,310,333,364,365,365
2057,310,334,364,365,365
2058,310,334,364,365,365
2059,310,334,364,365,365
2060,310,334,364,365,365
2061,310,334,364,365,365
2062,310,334,364,365,365
2063,310,334,364,365,365
2064,310,334,364,365,365
2065,310,334,364,365,365
2066,310,334,364,365,365
2067,310,334,364,365,365
2068,310,334,364,365,365
2069,310,334,364,365,365
2070,310,334,364,365,365
2071,310,334,364,365,365
2072,310,334,364,365,365
2073,310,334,364,365,365
2074,310,334,364,365,365
2075,310,334,364,365,365
2076,310,334,364,365,365
2077,310,334,364,365,365
2078,310,334,364,365,365
2079,310,334,364,365,365
2080,310,334,364,365,365
2081,310,334,364,365,365
2082,310,334,364,365,365
2083,310,334,364,365,365
2084,310,334,364,365,365
2085,310,334,364,365,365
2086,310,334,364,365,365
2087,310,334,364,365,365
2088,310,334,364,365,365
2089,310,334,364,365,365
2090,310,334,364,365,365
2091,310,334,364,365,365
2092,310,334,364,365,365
2093,310,334,364,365,365
2094,310,334,364,365,365
2095,310,334,364,365,365
2096,310,334,364,365,365
2097,310,334,364,365,365
2098,310,334,364,365,365
2099,310,334,364,365,365
2100,310,334,364,365,365
2101,310,334,364,365,365
2102,310,334,364,365,365
2103,310,334,364,365,365
2104,310,334,364,365,365
2105,310,334,364,365,365
2106,310,334,364,365,365
2107,310,334,364,365,365
2108,310,334,364,365,365
2109,310,334,364,365,365
2110,310,334,364,365,365
2111,310,334,364,365,365
2112,310,334,364,365,365
2113,310,334,364,365,365
2114,310,334,364,365,365
2115,310,334,364,365,365
2116,310,334,364,365,365
2117,310,334,364,365,365
2118,310,334,364,365,365
2119,310,334,364,365,365
2120,310,334,364,365,365
2121,310,334,364,365,365
2122,310,334,364,365,365
2123,310,334,364,365,365
2124,310,334,364,365,365
2125,310,334,364,365,365
2126,310,334,364,365,365
2127,310,334,364,365,365
2128,310,334,364,365,365
2129,310,334,364,365,365
2130,310,334,364,365,365
2131,310,334,364,365,365
2132,310,334,364,365,365
2133,310,334,364,365,365
2134,310,334,364,365,365
2135,310,334,364,365,365
2136,310,334,364,365,365
2137,310,334,364,365,365
2138,310,334,364,365,365
2139,310,334,364,365,365
2140,310,334,364,365,365
2141,310,334,364,365,365
2142,310,334,364,365,365
2143,310,334,364,365,365
2144,310,334,364,365,365
2145,310,334,364,365,365
2146,310,334,364,365,365
2147,310,334,364,365,365
2148,310,334,364,365,365
2149,310,334,364,365,365
2150,310,334,364,365,365
2151,310,334,364,365,365
2152,310,334,364,365,365
2153,310,334,364,365,365
2154,310,334,364,365,365
2155,310,334,364,365,365
2156,310,334,364,365,365
2157,310,334,364,365,365
2158,310,334,364,365,365
2159,310,334,364,365,365
2160,310,334,364,365,365
2161,310,334,364,365,365
2162,310,334,364,365,365
2163,310,334,364,365,365
2164,310,334,364,365,365
2165,310,334,364,365,365
2166,310,334,364,365,365
2167,310,334,364,365,365
2168,310,334,364,365,365
2169,310,334,364,365,365
2170,310,334,364,365,365
2171,310,334,364,365,365
2172,310,334,364,365,365
2173,310,334,364,365,365
2174,310,334,364,365,365
2175,310,334,364,365,365
2176,310,334,364,365,365
2177,310,334,364,365,365
2178,310,334,364,365,365
2179,310,334,364,365,365
2180,310,334,364,365,365
2181,310,334,364,365,365
2182,310,334,364,365,365
2183,310,334,364,365,365
2184,310,334,364,365,365
2185,310,334,364,365,365
2186,310,334,364,365,365
2187,310,334,364,365,365
2188,310,334,364,365,365
2189,310,334,364,365,365
2190,310,334,364,365,365
2191,310,334,364,365,365
2192,310,334,364,365,365
2193,310,334,364,365,365
2194,310,334,364,365,365
2195,310,334,364,365,365
2196,310,334,364,365,365
2197,310,334,364,365,365
2198,310,334,364,365,365
2199,310,334,364,365,365
2200,310,334,364,365,365
