Year,5th,17th,50th,83th,95th
2020,1,3,7,11,13
2021,1,3,7,11,13
2022,2,4,8,13,14
2023,2,3,7,12,14
2024,3,5,9,14,16
2025,4,6,11,16,19
2026,5,8,13,18,20
2027,4,6,12,16,19
2028,6,8,14,19,22
2029,7,9,15,20,22
2030,7,10,16,21,23
2031,4,7,12,17,19
2032,5,8,13,18,20
2033,7,10,16,21,23
2034,12,15,21,27,29
2035,12,15,21,27,29
2036,12,16,23,28,31
2037,18,21,28,34,39
2038,27,30,38,47,52
2039,24,27,35,43,46
2040,25,28,37,45,49
2041,27,30,38,47,52
2042,37,40,50,58,62
2043,43,47,58,67,71
2044,45,49,61,70,73
2045,54,60,72,82,87
2046,73,77,91,102,106
2047,80,86,97,108,112
2048,80,86,97,108,112
2049,83,88,101,113,117
2050,85,90,104,117,120
2051,91,96,108,120,123
2052,96,101,116,128,131
2053,111,119,133,146,150
2054,115,123,139,150,157
2055,134,140,158,170,176
2056,167,172,190,207,214
2057,185,191,209,230,236
2058,196,204,220,240,245
2059,200,209,226,244,247
2060,224,236,254,271,277
2061,248,260,275,291,300
2062,239,250,268,283,291
2063,254,264,281,296,303
2064,282,292,308,319,324
2065,305,320,331,341,345
2066,302,317,329,338,342
2067,309,325,335,345,349
2068,318,338,347,354,358
2069,324,343,353,359,362
2070,323,342,351,358,361
2071,324,343,353,359,362
2072,328,349,357,363,364
2073,338,354,362,365,365
2074,338,355,363,365,365
2075,341,357,364,365,365
2076,341,358,365,365,365
2077,341,358,365,365,365
2078,341,358,365,365,365
2079,341,358,365,365,365
2080,341,358,365,365,365
2081,341,358,365,365,365
2082,341,358,365,365,365
2083,341,358,365,365,365
2084,341,358,365,365,365
2085,341,358,365,365,365
2086,341,358,365,365,365
2087,341,358,365,365,365
2088,341,358,365,365,365
2089,341,358,365,365,365
2090,341,358,365,365,365
2091,341,358,365,365,365
2092,341,358,365,365,365
2093,341,358,365,365,365
2094,341,358,365,365,365
2095,341,358,365,365,365
2096,341,358,365,365,365
2097,341,358,365,365,365
2098,341,358,365,365,365
2099,341,358,365,365,365
2100,341,358,365,365,365
2101,341,358,365,365,365
2102,341,358,365,365,365
2103,341,358,365,365,365
2104,341,358,365,365,365
2105,341,358,365,365,365
2106,341,358,365,365,365
2107,341,358,365,365,365
2108,341,358,365,365,365
2109,341,358,365,365,365
2110,341,358,365,365,365
2111,341,358,365,365,365
2112,341,358,365,365,365
2113,341,358,365,365,365
2114,341,358,365,365,365
2115,341,358,365,365,365
2116,341,358,365,365,365
2117,341,358,365,365,365
2118,341,358,365,365,365
2119,341,358,365,365,365
2120,341,358,365,365,365
2121,341,358,365,365,365
2122,341,358,365,365,365
2123,341,358,365,365,365
2124,341,358,365,365,365
2125,341,358,365,365,365
2126,341,358,365,365,365
2127,341,358,365,365,365
2128,341,358,365,365,365
2129,341,358,365,365,365
2130,341,358,365,365,365
2131,341,358,365,365,365
2132,341,358,365,365,365
2133,341,358,365,365,365
2134,341,358,365,365,365
2135,341,358,365,365,365
2136,341,358,365,365,365
2137,341,358,365,365,365
2138,341,358,365,365,365
2139,341,358,365,365,365
2140,341,358,365,365,365
2141,341,358,365,365,365
2142,341,358,365,365,365
2143,341,358,365,365,365
2144,341,358,365,365,365
2145,341,358,365,365,365
2146,341,358,365,365,365
2147,341,358,365,365,365
2148,341,358,365,365,365
2149,341,358,365,365,365
2150,341,358,365,365,365
2151,341,358,365,365,365
2152,341,358,365,365,365
2153,341,358,365,365,365
2154,341,358,365,365,365
2155,341,358,365,365,365
2156,341,358,365,365,365
2157,341,358,365,365,365
2158,341,358,365,365,365
2159,341,358,365,365,365
2160,341,358,365,365,365
2161,341,358,365,365,365
2162,341,358,365,365,365
2163,341,358,365,365,365
2164,341,358,365,365,365
2165,341,358,365,365,365
2166,341,358,365,365,365
2167,341,358,365,365,365
2168,341,358,365,365,365
2169,341,358,365,365,365
2170,341,358,365,365,365
2171,341,358,365,365,365
2172,341,358,365,365,365
2173,341,358,365,365,365
2174,341,358,365,365,365
2175,341,358,365,365,365
2176,341,358,365,365,365
2177,341,358,365,365,365
2178,341,358,365,365,365
2179,341,358,365,365,365
2180,341,358,365,365,365
2181,341,358,365,365,365
2182,341,358,365,365,365
2183,341,358,365,365,365
2184,341,358,365,365,365
2185,341,358,365,365,365
2186,341,358,365,365,365
2187,341,358,365,365,365
2188,341,358,365,365,365
2189,341,358,365,365,365
2190,341,358,365,365,365
2191,341,358,365,365,365
2192,341,358,365,365,365
2193,341,358,365,365,365
2194,341,358,365,365,365
2195,341,358,365,365,365
2196,341,358,365,365,365
2197,341,358,365,365,365
2198,341,358,365,365,365
2199,341,358,365,365,365
2200,341,358,365,365,365
