Year,5th,17th,50th,83th,95th
2020,1,1,5,8,11
2021,1,2,5,9,11
2022,1,2,6,9,12
2023,1,2,6,9,12
2024,1,2,6,10,12
2025,1,3,6,10,13
2026,2,3,7,11,13
2027,2,3,7,11,13
2028,4,5,10,15,18
2029,8,10,15,21,24
2030,11,14,20,27,30
2031,18,21,28,35,40
2032,27,30,38,45,49
2033,37,43,50,61,65
2034,44,49,60,73,77
2035,51,57,67,79,83
2036,51,57,67,79,83
2037,70,74,88,104,108
2038,83,87,102,119,126
2039,105,112,129,146,157
2040,114,130,151,165,174
2041,159,169,191,203,218
2042,201,214,242,254,261
2043,255,265,290,304,308
2044,267,279,300,314,319
2045,284,295,315,329,334
2046,297,313,331,342,346
2047,301,319,336,348,351
2048,304,321,340,349,352
2049,305,325,341,351,354
2050,312,332,347,356,359
2051,316,341,353,361,363
2052,321,345,358,363,365
2053,322,350,361,365,365
2054,324,351,362,365,365
2055,328,353,364,365,365
2056,328,353,365,365,365
2057,328,353,365,365,365
2058,330,354,365,365,365
2059,330,354,365,365,365
2060,330,354,365,365,365
2061,330,354,365,365,365
2062,331,354,365,365,365
2063,331,354,365,365,365
2064,331,354,365,365,365
2065,331,354,365,365,365
2066,331,354,365,365,365
2067,331,354,365,365,365
2068,331,354,365,365,365
2069,331,354,365,365,365
2070,331,354,365,365,365
2071,331,354,365,365,365
2072,331,354,365,365,365
2073,331,354,365,365,365
2074,331,354,365,365,365
2075,331,354,365,365,365
2076,331,354,365,365,365
2077,331,354,365,365,365
2078,331,354,365,365,365
2079,331,354,365,365,365
2080,331,354,365,365,365
2081,331,354,365,365,365
2082,331,354,365,365,365
2083,331,354,365,365,365
2084,331,354,365,365,365
2085,331,354,365,365,365
2086,331,354,365,365,365
2087,331,354,365,365,365
2088,331,354,365,365,365
2089,331,354,365,365,365
2090,331,354,365,365,365
2091,331,354,365,365,365
2092,331,354,365,365,365
2093,331,354,365,365,365
2094,331,354,365,365,365
2095,331,354,365,365,365
2096,331,354,365,365,365
2097,331,354,365,365,365
2098,331,354,365,365,365
2099,331,354,365,365,365
2100,331,354,365,365,365
2101,331,354,365,365,365
2102,331,354,365,365,365
2103,331,354,365,365,365
2104,331,354,365,365,365
2105,331,354,365,365,365
2106,331,354,365,365,365
2107,331,354,365,365,365
2108,331,354,365,365,365
2109,331,354,365,365,365
2110,331,354,365,365,365
2111,331,354,365,365,365
2112,331,354,365,365,365
2113,331,354,365,365,365
2114,331,354,365,365,365
2115,331,354,365,365,365
2116,331,354,365,365,365
2117,331,354,365,365,365
2118,331,354,365,365,365
2119,331,354,365,365,365
2120,331,354,365,365,365
2121,331,354,365,365,365
2122,331,354,365,365,365
2123,331,354,365,365,365
2124,331,354,365,365,365
2125,331,354,365,365,365
2126,331,354,365,365,365
2127,331,354,365,365,365
2128,331,354,365,365,365
2129,331,354,365,365,365
2130,331,354,365,365,365
2131,331,354,365,365,365
2132,331,354,365,365,365
2133,331,354,365,365,365
2134,331,354,365,365,365
2135,331,354,365,365,365
2136,331,354,365,365,365
2137,331,354,365,365,365
2138,331,354,365,365,365
2139,331,354,365,365,365
2140,331,354,365,365,365
2141,331,354,365,365,365
2142,331,354,365,365,365
2143,331,354,365,365,365
2144,331,354,365,365,365
2145,331,354,365,365,365
2146,331,354,365,365,365
2147,331,354,365,365,365
2148,331,354,365,365,365
2149,331,354,365,365,365
2150,331,354,365,365,365
2151,331,354,365,365,365
2152,331,354,365,365,365
2153,331,354,365,365,365
2154,331,354,365,365,365
2155,331,354,365,365,365
2156,331,354,365,365,365
2157,331,354,365,365,365
2158,331,354,365,365,365
2159,331,354,365,365,365
2160,331,354,365,365,365
2161,331,354,365,365,365
2162,331,354,365,365,365
2163,331,354,365,365,365
2164,331,354,365,365,365
2165,331,354,365,365,365
2166,331,354,365,365,365
2167,331,354,365,365,365
2168,331,354,365,365,365
2169,331,354,365,365,365
2170,331,354,365,365,365
2171,331,354,365,365,365
2172,331,354,365,365,365
2173,331,354,365,365,365
2174,331,354,365,365,365
2175,331,354,365,365,365
2176,331,354,365,365,365
2177,331,354,365,365,365
2178,331,354,365,365,365
2179,331,354,365,365,365
2180,331,354,365,365,365
2181,331,354,365,365,365
2182,331,354,365,365,365
2183,331,354,365,365,365
2184,331,354,365,365,365
2185,331,354,365,365,365
2186,331,354,365,365,365
2187,331,354,365,365,365
2188,331,354,365,365,365
2189,331,354,365,365,365
2190,331,354,365,365,365
2191,331,354,365,365,365
2192,331,354,365,365,365
2193,331,354,365,365,365
2194,331,354,365,365,365
2195,331,354,365,365,365
2196,331,354,365,365,365
2197,331,354,365,365,365
2198,331,354,365,365,365
2199,331,354,365,365,365
2200,331,354,365,365,365
