Year,5th,17th,50th,83th,95th
2020,1,1,2,4,5
2021,1,1,2,4,5
2022,1,1,2,4,5
2023,1,1,2,4,6
2024,1,1,2,4,6
2025,1,1,2,4,6
2026,1,1,2,4,6
2027,1,1,2,5,6
2028,1,1,2,6,7
2029,1,1,3,6,8
2030,1,1,4,7,9
2031,1,2,5,10,12
2032,3,4,8,13,15
2033,5,7,11,16,19
2034,6,8,12,17,20
2035,7,9,14,20,23
2036,7,9,14,20,23
2037,10,13,19,26,28
2038,12,15,22,27,30
2039,13,16,23,29,32
2040,19,23,31,37,40
2041,34,38,48,55,57
2042,43,51,64,71,74
2043,55,63,77,86,90
2044,77,92,104,118,122
2045,96,113,128,143,147
2046,127,140,157,167,170
2047,131,153,171,187,193
2048,147,157,179,192,199
2049,164,181,203,216,224
2050,180,193,219,235,244
2051,209,218,248,265,271
2052,231,243,271,285,291
2053,264,289,304,317,322
2054,294,312,326,338,343
2055,307,331,344,353,356
2056,315,341,351,359,362
2057,317,343,354,361,364
2058,321,346,356,363,365
2059,321,348,358,364,365
2060,324,350,360,365,365
2061,331,351,361,365,365
2062,333,353,363,365,365
2063,335,355,365,365,365
2064,336,355,365,365,365
2065,336,356,365,365,365
2066,336,356,365,365,365
2067,336,356,365,365,365
2068,336,356,365,365,365
2069,336,356,365,365,365
2070,336,356,365,365,365
2071,336,356,365,365,365
2072,336,356,365,365,365
2073,336,356,365,365,365
2074,336,356,365,365,365
2075,336,356,365,365,365
2076,336,356,365,365,365
2077,336,356,365,365,365
2078,336,356,365,365,365
2079,336,356,365,365,365
2080,336,356,365,365,365
2081,336,356,365,365,365
2082,336,356,365,365,365
2083,336,356,365,365,365
2084,336,356,365,365,365
2085,336,356,365,365,365
2086,336,356,365,365,365
2087,336,356,365,365,365
2088,336,356,365,365,365
2089,336,356,365,365,365
2090,336,356,365,365,365
2091,336,356,365,365,365
2092,336,356,365,365,365
2093,336,356,365,365,365
2094,336,356,365,365,365
2095,336,356,365,365,365
2096,336,356,365,365,365
2097,336,356,365,365,365
2098,336,356,365,365,365
2099,336,356,365,365,365
2100,336,356,365,365,365
2101,336,356,365,365,365
2102,336,356,365,365,365
2103,336,356,365,365,365
2104,336,356,365,365,365
2105,336,356,365,365,365
2106,336,356,365,365,365
2107,336,356,365,365,365
2108,336,356,365,365,365
2109,336,356,365,365,365
2110,336,356,365,365,365
2111,336,356,365,365,365
2112,336,356,365,365,365
2113,336,356,365,365,365
2114,336,356,365,365,365
2115,336,356,365,365,365
2116,336,356,365,365,365
2117,336,356,365,365,365
2118,336,356,365,365,365
2119,336,356,365,365,365
2120,336,356,365,365,365
2121,336,356,365,365,365
2122,336,356,365,365,365
2123,336,356,365,365,365
2124,336,356,365,365,365
2125,336,356,365,365,365
2126,336,356,365,365,365
2127,336,356,365,365,365
2128,336,356,365,365,365
2129,336,356,365,365,365
2130,336,356,365,365,365
2131,336,356,365,365,365
2132,336,356,365,365,365
2133,336,356,365,365,365
2134,336,356,365,365,365
2135,336,356,365,365,365
2136,336,356,365,365,365
2137,336,356,365,365,365
2138,336,356,365,365,365
2139,336,356,365,365,365
2140,336,356,365,365,365
2141,336,356,365,365,365
2142,336,356,365,365,365
2143,336,356,365,365,365
2144,336,356,365,365,365
2145,336,356,365,365,365
2146,336,356,365,365,365
2147,336,356,365,365,365
2148,336,356,365,365,365
2149,336,356,365,365,365
2150,336,356,365,365,365
2151,336,356,365,365,365
2152,336,356,365,365,365
2153,336,356,365,365,365
2154,336,356,365,365,365
2155,336,356,365,365,365
2156,336,356,365,365,365
2157,336,356,365,365,365
2158,336,356,365,365,365
2159,336,356,365,365,365
2160,336,356,365,365,365
2161,336,356,365,365,365
2162,336,356,365,365,365
2163,336,356,365,365,365
2164,336,356,365,365,365
2165,336,356,365,365,365
2166,336,356,365,365,365
2167,336,356,365,365,365
2168,336,356,365,365,365
2169,336,356,365,365,365
2170,336,356,365,365,365
2171,336,356,365,365,365
2172,336,356,365,365,365
2173,336,356,365,365,365
2174,336,356,365,365,365
2175,336,356,365,365,365
2176,336,356,365,365,365
2177,336,356,365,365,365
2178,336,356,365,365,365
2179,336,356,365,365,365
2180,336,356,365,365,365
2181,336,356,365,365,365
2182,336,356,365,365,365
2183,336,356,365,365,365
2184,336,356,365,365,365
2185,336,356,365,365,365
2186,336,356,365,365,365
2187,336,356,365,365,365
2188,336,356,365,365,365
2189,336,356,365,365,365
2190,336,356,365,365,365
2191,336,356,365,365,365
2192,336,356,365,365,365
2193,336,356,365,365,365
2194,336,356,365,365,365
2195,336,356,365,365,365
2196,336,356,365,365,365
2197,336,356,365,365,365
2198,336,356,365,365,365
2199,336,356,365,365,365
2200,336,356,365,365,365
