Year,5th,17th,50th,83th,95th
2020,1,1,4,8,10
2021,1,3,6,11,14
2022,4,6,11,16,19
2023,6,8,13,20,24
2024,8,11,17,23,29
2025,12,15,22,31,35
2026,15,18,25,36,39
2027,18,21,29,39,44
2028,15,18,25,36,39
2029,15,18,25,36,39
2030,21,24,33,44,49
2031,25,29,38,52,57
2032,30,34,43,57,64
2033,35,38,48,63,68
2034,54,57,69,88,96
2035,86,91,105,128,133
2036,115,120,135,159,167
2037,135,142,158,179,186
2038,160,174,192,213,221
2039,195,212,230,254,261
2040,218,241,259,279,288
2041,250,264,283,301,310
2042,264,279,297,314,321
2043,280,302,320,334,339
2044,292,318,337,347,350
2045,292,326,343,351,354
2046,296,332,348,356,359
2047,301,340,353,360,363
2048,308,344,356,363,364
2049,308,347,358,364,365
2050,308,347,358,364,365
2051,310,347,359,365,365
2052,312,349,362,365,365
2053,315,350,364,365,365
2054,317,351,364,365,365
2055,317,352,365,365,365
2056,317,352,365,365,365
2057,317,352,365,365,365
2058,317,352,365,365,365
2059,317,352,365,365,365
2060,317,352,365,365,365
2061,317,352,365,365,365
2062,317,352,365,365,365
2063,317,352,365,365,365
2064,317,352,365,365,365
2065,317,352,365,365,365
2066,317,352,365,365,365
2067,317,352,365,365,365
2068,317,352,365,365,365
2069,317,352,365,365,365
2070,317,352,365,365,365
2071,317,352,365,365,365
2072,317,352,365,365,365
2073,317,352,365,365,365
2074,317,352,365,365,365
2075,317,352,365,365,365
2076,317,352,365,365,365
2077,317,352,365,365,365
2078,317,352,365,365,365
2079,317,352,365,365,365
2080,317,352,365,365,365
2081,317,352,365,365,365
2082,317,352,365,365,365
2083,317,352,365,365,365
2084,317,352,365,365,365
2085,317,352,365,365,365
2086,317,352,365,365,365
2087,317,352,365,365,365
2088,317,352,365,365,365
2089,317,352,365,365,365
2090,317,352,365,365,365
2091,317,352,365,365,365
2092,317,352,365,365,365
2093,317,352,365,365,365
2094,317,352,365,365,365
2095,317,352,365,365,365
2096,317,352,365,365,365
2097,317,352,365,365,365
2098,317,352,365,365,365
2099,317,352,365,365,365
2100,317,352,365,365,365
2101,317,352,365,365,365
2102,317,352,365,365,365
2103,317,352,365,365,365
2104,317,352,365,365,365
2105,317,352,365,365,365
2106,317,352,365,365,365
2107,317,352,365,365,365
2108,317,352,365,365,365
2109,317,352,365,365,365
2110,317,352,365,365,365
2111,317,352,365,365,365
2112,317,352,365,365,365
2113,317,352,365,365,365
2114,317,352,365,365,365
2115,317,352,365,365,365
2116,317,352,365,365,365
2117,317,352,365,365,365
2118,317,352,365,365,365
2119,317,352,365,365,365
2120,317,352,365,365,365
2121,317,352,365,365,365
2122,317,352,365,365,365
2123,317,352,365,365,365
2124,317,352,365,365,365
2125,317,352,365,365,365
2126,317,352,365,365,365
2127,317,352,365,365,365
2128,317,352,365,365,365
2129,317,352,365,365,365
2130,317,352,365,365,365
2131,317,352,365,365,365
2132,317,352,365,365,365
2133,317,352,365,365,365
2134,317,352,365,365,365
2135,317,352,365,365,365
2136,317,352,365,365,365
2137,317,352,365,365,365
2138,317,352,365,365,365
2139,317,352,365,365,365
2140,317,352,365,365,365
2141,317,352,365,365,365
2142,317,352,365,365,365
2143,317,352,365,365,365
2144,317,352,365,365,365
2145,317,352,365,365,365
2146,317,352,365,365,365
2147,317,352,365,365,365
2148,317,352,365,365,365
2149,317,352,365,365,365
2150,317,352,365,365,365
2151,317,352,365,365,365
2152,317,352,365,365,365
2153,317,352,365,365,365
2154,317,352,365,365,365
2155,317,352,365,365,365
2156,317,352,365,365,365
2157,317,352,365,365,365
2158,317,352,365,365,365
2159,317,352,365,365,365
2160,317,352,365,365,365
2161,317,352,365,365,365
2162,317,352,365,365,365
2163,317,352,365,365,365
2164,317,352,365,365,365
2165,317,352,365,365,365
2166,317,352,365,365,365
2167,317,352,365,365,365
2168,317,352,365,365,365
2169,317,352,365,365,365
2170,317,352,365,365,365
2171,317,352,365,365,365
2172,317,352,365,365,365
2173,317,352,365,365,365
2174,317,352,365,365,365
2175,317,352,365,365,365
2176,317,352,365,365,365
2177,317,352,365,365,365
2178,317,352,365,365,365
2179,317,352,365,365,365
2180,317,352,365,365,365
2181,317,352,365,365,365
2182,317,352,365,365,365
2183,317,352,365,365,365
2184,317,352,365,365,365
2185,317,352,365,365,365
2186,317,352,365,365,365
2187,317,352,365,365,365
2188,317,352,365,365,365
2189,317,352,365,365,365
2190,317,352,365,365,365
2191,317,352,365,365,365
2192,317,352,365,365,365
2193,317,352,365,365,365
2194,317,352,365,365,365
2195,317,352,365,365,365
2196,317,352,365,365,365
2197,317,352,365,365,365
2198,317,352,365,365,365
2199,317,352,365,365,365
2200,317,352,365,365,365
