Year,5th,17th,50th,83th,95th
2020,18,21,30,37,41
2021,18,21,30,37,41
2022,18,21,30,37,41
2023,26,30,39,48,53
2024,32,36,47,57,62
2025,32,36,47,57,62
2026,32,36,47,57,62
2027,43,48,60,75,79
2028,65,70,85,100,106
2029,76,82,96,112,121
2030,88,94,110,127,136
2031,106,114,133,151,160
2032,156,161,181,198,205
2033,181,187,204,224,232
2034,206,210,224,246,252
2035,206,210,224,246,252
2036,215,224,241,258,265
2037,234,241,262,274,280
2038,245,252,273,287,292
2039,241,247,266,283,288
2040,248,257,279,291,295
2041,276,283,302,314,317
2042,290,296,314,324,327
2043,298,304,321,332,335
2044,306,313,329,339,342
2045,315,325,339,348,351
2046,327,335,348,355,357
2047,329,337,350,357,359
2048,332,339,351,358,360
2049,333,343,354,360,362
2050,335,346,357,363,365
2051,335,347,357,363,365
2052,336,348,358,364,365
2053,337,349,359,364,365
2054,338,351,361,365,365
2055,338,352,362,365,365
2056,339,354,362,365,365
2057,340,354,363,365,365
2058,341,354,364,365,365
2059,343,355,364,365,365
2060,343,356,364,365,365
2061,343,356,364,365,365
2062,343,356,364,365,365
2063,343,356,365,365,365
2064,343,356,365,365,365
2065,343,356,365,365,365
2066,343,356,365,365,365
2067,343,356,365,365,365
2068,343,356,365,365,365
2069,343,356,365,365,365
2070,343,356,365,365,365
2071,343,356,365,365,365
2072,343,356,365,365,365
2073,343,356,365,365,365
2074,343,356,365,365,365
2075,343,356,365,365,365
2076,343,356,365,365,365
2077,343,356,365,365,365
2078,343,356,365,365,365
2079,343,356,365,365,365
2080,343,356,365,365,365
2081,343,356,365,365,365
2082,343,356,365,365,365
2083,343,356,365,365,365
2084,343,356,365,365,365
2085,343,356,365,365,365
2086,343,356,365,365,365
2087,343,356,365,365,365
2088,343,356,365,365,365
2089,343,356,365,365,365
2090,343,356,365,365,365
2091,343,356,365,365,365
2092,343,356,365,365,365
2093,343,356,365,365,365
2094,343,356,365,365,365
2095,343,356,365,365,365
2096,343,356,365,365,365
2097,343,356,365,365,365
2098,343,356,365,365,365
2099,343,356,365,365,365
2100,343,356,365,365,365
2101,343,356,365,365,365
2102,343,356,365,365,365
2103,343,356,365,365,365
2104,343,356,365,365,365
2105,343,356,365,365,365
2106,343,356,365,365,365
2107,343,356,365,365,365
2108,343,356,365,365,365
2109,343,356,365,365,365
2110,343,356,365,365,365
2111,343,356,365,365,365
2112,343,356,365,365,365
2113,343,356,365,365,365
2114,343,356,365,365,365
2115,343,356,365,365,365
2116,343,356,365,365,365
2117,343,356,365,365,365
2118,343,356,365,365,365
2119,343,356,365,365,365
2120,343,356,365,365,365
2121,343,356,365,365,365
2122,343,356,365,365,365
2123,343,356,365,365,365
2124,343,356,365,365,365
2125,343,356,365,365,365
2126,343,356,365,365,365
2127,343,356,365,365,365
2128,343,356,365,365,365
2129,343,356,365,365,365
2130,343,356,365,365,365
2131,343,356,365,365,365
2132,343,356,365,365,365
2133,343,356,365,365,365
2134,343,356,365,365,365
2135,343,356,365,365,365
2136,343,356,365,365,365
2137,343,356,365,365,365
2138,343,356,365,365,365
2139,343,356,365,365,365
2140,343,356,365,365,365
2141,343,356,365,365,365
2142,343,356,365,365,365
2143,343,356,365,365,365
2144,343,356,365,365,365
2145,343,356,365,365,365
2146,343,356,365,365,365
2147,343,356,365,365,365
2148,343,356,365,365,365
2149,343,356,365,365,365
2150,343,356,365,365,365
2151,343,356,365,365,365
2152,343,356,365,365,365
2153,343,356,365,365,365
2154,343,356,365,365,365
2155,343,356,365,365,365
2156,343,356,365,365,365
2157,343,356,365,365,365
2158,343,356,365,365,365
2159,343,356,365,365,365
2160,343,356,365,365,365
2161,343,356,365,365,365
2162,343,356,365,365,365
2163,343,356,365,365,365
2164,343,356,365,365,365
2165,343,356,365,365,365
2166,343,356,365,365,365
2167,343,356,365,365,365
2168,343,356,365,365,365
2169,343,356,365,365,365
2170,343,356,365,365,365
2171,343,356,365,365,365
2172,343,356,365,365,365
2173,343,356,365,365,365
2174,343,356,365,365,365
2175,343,356,365,365,365
2176,343,356,365,365,365
2177,343,356,365,365,365
2178,343,356,365,365,365
2179,343,356,365,365,365
2180,343,356,365,365,365
2181,343,356,365,365,365
2182,343,356,365,365,365
2183,343,356,365,365,365
2184,343,356,365,365,365
2185,343,356,365,365,365
2186,343,356,365,365,365
2187,343,356,365,365,365
2188,343,356,365,365,365
2189,343,356,365,365,365
2190,343,356,365,365,365
2191,343,356,365,365,365
2192,343,356,365,365,365
2193,343,356,365,365,365
2194,343,356,365,365,365
2195,343,356,365,365,365
2196,343,356,365,365,365
2197,343,356,365,365,365
2198,343,356,365,365,365
2199,343,356,365,365,365
2200,343,356,365,365,365
