Year,5th,17th,50th,83th,95th
2020,60,71,91,109,115
2021,85,97,116,143,149
2022,113,126,147,178,187
2023,130,145,172,201,207
2024,159,174,208,236,247
2025,168,185,221,247,264
2026,168,185,221,247,264
2027,173,196,236,259,271
2028,188,207,243,269,281
2029,188,207,243,269,281
2030,200,219,254,279,294
2031,223,235,273,301,309
2032,232,258,295,321,329
2033,252,274,311,332,341
2034,279,301,332,348,353
2035,303,323,346,357,361
2036,323,338,356,363,365
2037,327,348,361,365,365
2038,327,353,364,365,365
2039,330,355,365,365,365
2040,332,359,365,365,365
2041,333,359,365,365,365
2042,334,360,365,365,365
2043,334,360,365,365,365
2044,334,360,365,365,365
2045,334,361,365,365,365
2046,334,361,365,365,365
2047,334,361,365,365,365
2048,334,361,365,365,365
2049,334,361,365,365,365
2050,334,361,365,365,365
2051,334,361,365,365,365
2052,334,361,365,365,365
2053,334,361,365,365,365
2054,334,361,365,365,365
2055,334,361,365,365,365
2056,334,361,365,365,365
2057,334,361,365,365,365
2058,334,361,365,365,365
2059,334,361,365,365,365
2060,334,361,365,365,365
2061,334,361,365,365,365
2062,334,361,365,365,365
2063,334,361,365,365,365
2064,334,361,365,365,365
2065,334,361,365,365,365
2066,334,361,365,365,365
2067,334,361,365,365,365
2068,334,361,365,365,365
2069,334,361,365,365,365
2070,334,361,365,365,365
2071,334,361,365,365,365
2072,334,361,365,365,365
2073,334,361,365,365,365
2074,334,361,365,365,365
2075,334,361,365,365,365
2076,334,361,365,365,365
2077,334,361,365,365,365
2078,334,361,365,365,365
2079,334,361,365,365,365
2080,334,361,365,365,365
2081,334,361,365,365,365
2082,334,361,365,365,365
2083,334,361,365,365,365
2084,334,361,365,365,365
2085,334,361,365,365,365
2086,334,361,365,365,365
2087,334,361,365,365,365
2088,334,361,365,365,365
2089,334,361,365,365,365
2090,334,361,365,365,365
2091,334,361,365,365,365
2092,334,361,365,365,365
2093,334,361,365,365,365
2094,334,361,365,365,365
2095,334,361,365,365,365
2096,334,361,365,365,365
2097,334,361,365,365,365
2098,334,361,365,365,365
2099,334,361,365,365,365
2100,334,361,365,365,365
2101,334,361,365,365,365
2102,334,361,365,365,365
2103,334,361,365,365,365
2104,334,361,365,365,365
2105,334,361,365,365,365
2106,334,361,365,365,365
2107,334,361,365,365,365
2108,334,361,365,365,365
2109,334,361,365,365,365
2110,334,361,365,365,365
2111,334,361,365,365,365
2112,334,361,365,365,365
2113,334,361,365,365,365
2114,334,361,365,365,365
2115,334,361,365,365,365
2116,334,361,365,365,365
2117,334,361,365,365,365
2118,334,361,365,365,365
2119,334,361,365,365,365
2120,334,361,365,365,365
2121,334,361,365,365,365
2122,334,361,365,365,365
2123,334,361,365,365,365
2124,334,361,365,365,365
2125,334,361,365,365,365
2126,334,361,365,365,365
2127,334,361,365,365,365
2128,334,361,365,365,365
2129,334,361,365,365,365
2130,334,361,365,365,365
2131,334,361,365,365,365
2132,334,361,365,365,365
2133,334,361,365,365,365
2134,334,361,365,365,365
2135,334,361,365,365,365
2136,334,361,365,365,365
2137,334,361,365,365,365
2138,334,361,365,365,365
2139,334,361,365,365,365
2140,334,361,365,365,365
2141,334,361,365,365,365
2142,334,361,365,365,365
2143,334,361,365,365,365
2144,334,361,365,365,365
2145,334,361,365,365,365
2146,334,361,365,365,365
2147,334,361,365,365,365
2148,334,361,365,365,365
2149,334,361,365,365,365
2150,334,361,365,365,365
2151,334,361,365,365,365
2152,334,361,365,365,365
2153,334,361,365,365,365
2154,334,361,365,365,365
2155,334,361,365,365,365
2156,334,361,365,365,365
2157,334,361,365,365,365
2158,334,361,365,365,365
2159,334,361,365,365,365
2160,334,361,365,365,365
2161,334,361,365,365,365
2162,334,361,365,365,365
2163,334,361,365,365,365
2164,334,361,365,365,365
2165,334,361,365,365,365
2166,334,361,365,365,365
2167,334,361,365,365,365
2168,334,361,365,365,365
2169,334,361,365,365,365
2170,334,361,365,365,365
2171,334,361,365,365,365
2172,334,361,365,365,365
2173,334,361,365,365,365
2174,334,361,365,365,365
2175,334,361,365,365,365
2176,334,361,365,365,365
2177,334,361,365,365,365
2178,334,361,365,365,365
2179,334,361,365,365,365
2180,334,361,365,365,365
2181,334,361,365,365,365
2182,334,361,365,365,365
2183,334,361,365,365,365
2184,334,361,365,365,365
2185,334,361,365,365,365
2186,334,361,365,365,365
2187,334,361,365,365,365
2188,334,361,365,365,365
2189,334,361,365,365,365
2190,334,361,365,365,365
2191,334,361,365,365,365
2192,334,361,365,365,365
2193,334,361,365,365,365
2194,334,361,365,365,365
2195,334,361,365,365,365
2196,334,361,365,365,365
2197,334,361,365,365,365
2198,334,361,365,365,365
2199,334,361,365,365,365
2200,334,361,365,365,365
