Year,5th,17th,50th,83th,95th
2020,1,1,2,6,7
2021,1,1,3,7,8
2022,1,2,5,10,11
2023,1,2,6,10,12
2024,2,4,8,12,14
2025,5,8,14,18,20
2026,15,17,22,27,29
2027,11,13,19,23,25
2028,11,13,19,23,25
2029,14,16,21,26,27
2030,17,19,24,29,31
2031,11,13,19,23,25
2032,14,16,21,26,27
2033,17,19,24,29,31
2034,29,33,39,44,46
2035,35,38,45,51,54
2036,47,50,58,67,72
2037,56,59,70,80,84
2038,69,75,90,104,107
2039,69,75,90,104,107
2040,74,80,96,109,113
2041,82,88,106,122,127
2042,101,107,123,140,145
2043,120,126,142,157,166
2044,140,147,161,178,184
2045,167,176,194,209,217
2046,188,202,217,236,241
2047,218,226,243,259,271
2048,218,232,250,267,274
2049,234,245,263,281,288
2050,225,239,256,272,279
2051,234,245,263,281,288
2052,238,254,274,291,295
2053,264,288,307,320,326
2054,272,292,311,326,331
2055,291,318,335,347,350
2056,300,332,349,356,360
2057,312,341,360,365,365
2058,312,342,361,365,365
2059,316,345,364,365,365
2060,317,346,365,365,365
2061,319,347,365,365,365
2062,319,347,365,365,365
2063,319,347,365,365,365
2064,319,347,365,365,365
2065,319,347,365,365,365
2066,319,347,365,365,365
2067,319,347,365,365,365
2068,319,347,365,365,365
2069,319,347,365,365,365
2070,319,347,365,365,365
2071,319,347,365,365,365
2072,319,347,365,365,365
2073,319,347,365,365,365
2074,319,347,365,365,365
2075,319,347,365,365,365
2076,319,347,365,365,365
2077,319,347,365,365,365
2078,319,347,365,365,365
2079,319,347,365,365,365
2080,319,347,365,365,365
2081,319,347,365,365,365
2082,319,347,365,365,365
2083,319,347,365,365,365
2084,319,347,365,365,365
2085,319,347,365,365,365
2086,319,347,365,365,365
2087,319,347,365,365,365
2088,319,347,365,365,365
2089,319,347,365,365,365
2090,319,347,365,365,365
2091,319,347,365,365,365
2092,319,347,365,365,365
2093,319,347,365,365,365
2094,319,347,365,365,365
2095,319,347,365,365,365
2096,319,347,365,365,365
2097,319,347,365,365,365
2098,319,347,365,365,365
2099,319,347,365,365,365
2100,319,347,365,365,365
2101,319,347,365,365,365
2102,319,347,365,365,365
2103,319,347,365,365,365
2104,319,347,365,365,365
2105,319,347,365,365,365
2106,319,347,365,365,365
2107,319,347,365,365,365
2108,319,347,365,365,365
2109,319,347,365,365,365
2110,319,347,365,365,365
2111,319,347,365,365,365
2112,319,347,365,365,365
2113,319,347,365,365,365
2114,319,347,365,365,365
2115,319,347,365,365,365
2116,319,347,365,365,365
2117,319,347,365,365,365
2118,319,347,365,365,365
2119,319,347,365,365,365
2120,319,347,365,365,365
2121,319,347,365,365,365
2122,319,347,365,365,365
2123,319,347,365,365,365
2124,319,347,365,365,365
2125,319,347,365,365,365
2126,319,347,365,365,365
2127,319,347,365,365,365
2128,319,347,365,365,365
2129,319,347,365,365,365
2130,319,347,365,365,365
2131,319,347,365,365,365
2132,319,347,365,365,365
2133,319,347,365,365,365
2134,319,347,365,365,365
2135,319,347,365,365,365
2136,319,347,365,365,365
2137,319,347,365,365,365
2138,319,347,365,365,365
2139,319,347,365,365,365
2140,319,347,365,365,365
2141,319,347,365,365,365
2142,319,347,365,365,365
2143,319,347,365,365,365
2144,319,347,365,365,365
2145,319,347,365,365,365
2146,319,347,365,365,365
2147,319,347,365,365,365
2148,319,347,365,365,365
2149,319,347,365,365,365
2150,319,347,365,365,365
2151,319,347,365,365,365
2152,319,347,365,365,365
2153,319,347,365,365,365
2154,319,347,365,365,365
2155,319,347,365,365,365
2156,319,347,365,365,365
2157,319,347,365,365,365
2158,319,347,365,365,365
2159,319,347,365,365,365
2160,319,347,365,365,365
2161,319,347,365,365,365
2162,319,347,365,365,365
2163,319,347,365,365,365
2164,319,347,365,365,365
2165,319,347,365,365,365
2166,319,347,365,365,365
2167,319,347,365,365,365
2168,319,347,365,365,365
2169,319,347,365,365,365
2170,319,347,365,365,365
2171,319,347,365,365,365
2172,319,347,365,365,365
2173,319,347,365,365,365
2174,319,347,365,365,365
2175,319,347,365,365,365
2176,319,347,365,365,365
2177,319,347,365,365,365
2178,319,347,365,365,365
2179,319,347,365,365,365
2180,319,347,365,365,365
2181,319,347,365,365,365
2182,319,347,365,365,365
2183,319,347,365,365,365
2184,319,347,365,365,365
2185,319,347,365,365,365
2186,319,347,365,365,365
2187,319,347,365,365,365
2188,319,347,365,365,365
2189,319,347,365,365,365
2190,319,347,365,365,365
2191,319,347,365,365,365
2192,319,347,365,365,365
2193,319,347,365,365,365
2194,319,347,365,365,365
2195,319,347,365,365,365
2196,319,347,365,365,365
2197,319,347,365,365,365
2198,319,347,365,365,365
2199,319,347,365,365,365
2200,319,347,365,365,365
