Year,5th,17th,50th,83th,95th
2020,4,5,9,14,16
2021,3,4,9,13,15
2022,3,4,9,13,15
2023,3,4,9,13,15
2024,6,8,12,17,19
2025,5,7,11,16,18
2026,7,9,14,19,21
2027,6,8,12,17,19
2028,11,14,21,26,28
2029,21,24,30,36,39
2030,27,30,35,41,45
2031,31,34,40,46,49
2032,45,49,58,64,68
2033,57,62,72,79,82
2034,57,62,72,79,82
2035,57,62,72,79,82
2036,53,57,65,73,76
2037,65,72,82,91,94
2038,65,72,82,91,94
2039,63,68,79,86,90
2040,63,68,79,86,90
2041,88,95,108,119,124
2042,105,118,135,148,154
2043,120,132,150,164,170
2044,118,130,146,157,162
2045,139,159,178,189,195
2046,167,185,211,225,233
2047,179,198,223,236,244
2048,185,204,228,242,250
2049,197,220,244,258,265
2050,228,241,268,285,291
2051,247,267,287,301,307
2052,249,268,292,306,312
2053,267,301,315,326,334
2054,286,312,326,339,345
2055,296,334,347,356,359
2056,297,337,349,357,360
2057,302,341,351,360,363
2058,299,339,350,359,362
2059,307,347,357,363,365
2060,309,349,358,364,365
2061,312,351,361,365,365
2062,311,350,359,365,365
2063,314,355,364,365,365
2064,314,356,365,365,365
2065,314,357,365,365,365
2066,314,357,365,365,365
2067,314,357,365,365,365
2068,314,357,365,365,365
2069,314,357,365,365,365
2070,314,357,365,365,365
2071,314,357,365,365,365
2072,314,357,365,365,365
2073,314,357,365,365,365
2074,314,357,365,365,365
2075,314,357,365,365,365
2076,314,357,365,365,365
2077,314,357,365,365,365
2078,314,357,365,365,365
2079,314,357,365,365,365
2080,314,357,365,365,365
2081,314,357,365,365,365
2082,314,357,365,365,365
2083,314,357,365,365,365
2084,314,357,365,365,365
2085,314,357,365,365,365
2086,314,357,365,365,365
2087,314,357,365,365,365
2088,314,357,365,365,365
2089,314,357,365,365,365
2090,314,357,365,365,365
2091,314,357,365,365,365
2092,314,357,365,365,365
2093,314,357,365,365,365
2094,314,357,365,365,365
2095,314,357,365,365,365
2096,314,357,365,365,365
2097,314,357,365,365,365
2098,314,357,365,365,365
2099,314,357,365,365,365
2100,314,357,365,365,365
2101,314,357,365,365,365
2102,314,357,365,365,365
2103,314,357,365,365,365
2104,314,357,365,365,365
2105,314,357,365,365,365
2106,314,357,365,365,365
2107,314,357,365,365,365
2108,314,357,365,365,365
2109,314,357,365,365,365
2110,314,357,365,365,365
2111,314,357,365,365,365
2112,314,357,365,365,365
2113,314,357,365,365,365
2114,314,357,365,365,365
2115,314,357,365,365,365
2116,314,357,365,365,365
2117,314,357,365,365,365
2118,314,357,365,365,365
2119,314,357,365,365,365
2120,314,357,365,365,365
2121,314,357,365,365,365
2122,314,357,365,365,365
2123,314,357,365,365,365
2124,314,357,365,365,365
2125,314,357,365,365,365
2126,314,357,365,365,365
2127,314,357,365,365,365
2128,314,357,365,365,365
2129,314,357,365,365,365
2130,314,357,365,365,365
2131,314,357,365,365,365
2132,314,357,365,365,365
2133,314,357,365,365,365
2134,314,357,365,365,365
2135,314,357,365,365,365
2136,314,357,365,365,365
2137,314,357,365,365,365
2138,314,357,365,365,365
2139,314,357,365,365,365
2140,314,357,365,365,365
2141,314,357,365,365,365
2142,314,357,365,365,365
2143,314,357,365,365,365
2144,314,357,365,365,365
2145,314,357,365,365,365
2146,314,357,365,365,365
2147,314,357,365,365,365
2148,314,357,365,365,365
2149,314,357,365,365,365
2150,314,357,365,365,365
2151,314,357,365,365,365
2152,314,357,365,365,365
2153,314,357,365,365,365
2154,314,357,365,365,365
2155,314,357,365,365,365
2156,314,357,365,365,365
2157,314,357,365,365,365
2158,314,357,365,365,365
2159,314,357,365,365,365
2160,314,357,365,365,365
2161,314,357,365,365,365
2162,314,357,365,365,365
2163,314,357,365,365,365
2164,314,357,365,365,365
2165,314,357,365,365,365
2166,314,357,365,365,365
2167,314,357,365,365,365
2168,314,357,365,365,365
2169,314,357,365,365,365
2170,314,357,365,365,365
2171,314,357,365,365,365
2172,314,357,365,365,365
2173,314,357,365,365,365
2174,314,357,365,365,365
2175,314,357,365,365,365
2176,314,357,365,365,365
2177,314,357,365,365,365
2178,314,357,365,365,365
2179,314,357,365,365,365
2180,314,357,365,365,365
2181,314,357,365,365,365
2182,314,357,365,365,365
2183,314,357,365,365,365
2184,314,357,365,365,365
2185,314,357,365,365,365
2186,314,357,365,365,365
2187,314,357,365,365,365
2188,314,357,365,365,365
2189,314,357,365,365,365
2190,314,357,365,365,365
2191,314,357,365,365,365
2192,314,357,365,365,365
2193,314,357,365,365,365
2194,314,357,365,365,365
2195,314,357,365,365,365
2196,314,357,365,365,365
2197,314,357,365,365,365
2198,314,357,365,365,365
2199,314,357,365,365,365
2200,314,357,365,365,365
