Year,5th,17th,50th,83th,95th
2020,1,1,2,6,8
2021,1,1,2,7,9
2022,1,1,3,7,10
2023,1,1,4,8,11
2024,1,1,5,10,14
2025,1,2,6,12,17
2026,1,2,6,12,17
2027,1,3,7,14,18
2028,2,4,9,15,21
2029,3,5,11,19,24
2030,4,7,13,20,27
2031,7,11,20,28,36
2032,15,18,29,39,46
2033,23,28,39,52,56
2034,33,38,55,69,73
2035,44,51,66,86,96
2036,60,78,98,119,134
2037,84,101,125,152,161
2038,97,118,142,182,196
2039,121,140,162,192,222
2040,145,164,194,228,257
2041,170,190,231,267,291
2042,202,223,264,292,310
2043,237,258,291,318,328
2044,272,288,317,340,346
2045,301,310,333,350,354
2046,319,329,350,359,362
2047,329,342,355,362,364
2048,338,349,359,365,365
2049,346,353,361,365,365
2050,351,357,363,365,365
2051,352,358,364,365,365
2052,353,359,365,365,365
2053,354,359,365,365,365
2054,355,360,365,365,365
2055,355,360,365,365,365
2056,355,360,365,365,365
2057,355,360,365,365,365
2058,355,360,365,365,365
2059,355,360,365,365,365
2060,355,360,365,365,365
2061,355,360,365,365,365
2062,355,360,365,365,365
2063,355,360,365,365,365
2064,355,360,365,365,365
2065,355,360,365,365,365
2066,355,360,365,365,365
2067,355,360,365,365,365
2068,355,360,365,365,365
2069,355,360,365,365,365
2070,355,360,365,365,365
2071,355,360,365,365,365
2072,355,360,365,365,365
2073,355,360,365,365,365
2074,355,360,365,365,365
2075,355,360,365,365,365
2076,355,360,365,365,365
2077,355,360,365,365,365
2078,355,360,365,365,365
2079,355,360,365,365,365
2080,355,360,365,365,365
2081,355,360,365,365,365
2082,355,360,365,365,365
2083,355,360,365,365,365
2084,355,360,365,365,365
2085,355,360,365,365,365
2086,355,360,365,365,365
2087,355,360,365,365,365
2088,355,360,365,365,365
2089,355,360,365,365,365
2090,355,360,365,365,365
2091,355,360,365,365,365
2092,355,360,365,365,365
2093,355,360,365,365,365
2094,355,360,365,365,365
2095,355,360,365,365,365
2096,355,360,365,365,365
2097,355,360,365,365,365
2098,355,360,365,365,365
2099,355,360,365,365,365
2100,355,360,365,365,365
2101,355,360,365,365,365
2102,355,360,365,365,365
2103,355,360,365,365,365
2104,355,360,365,365,365
2105,355,360,365,365,365
2106,355,360,365,365,365
2107,355,360,365,365,365
2108,355,360,365,365,365
2109,355,360,365,365,365
2110,355,360,365,365,365
2111,355,360,365,365,365
2112,355,360,365,365,365
2113,355,360,365,365,365
2114,355,360,365,365,365
2115,355,360,365,365,365
2116,355,360,365,365,365
2117,355,360,365,365,365
2118,355,360,365,365,365
2119,355,360,365,365,365
2120,355,360,365,365,365
2121,355,360,365,365,365
2122,355,360,365,365,365
2123,355,360,365,365,365
2124,355,360,365,365,365
2125,355,360,365,365,365
2126,355,360,365,365,365
2127,355,360,365,365,365
2128,355,360,365,365,365
2129,355,360,365,365,365
2130,355,360,365,365,365
2131,355,360,365,365,365
2132,355,360,365,365,365
2133,355,360,365,365,365
2134,355,360,365,365,365
2135,355,360,365,365,365
2136,355,360,365,365,365
2137,355,360,365,365,365
2138,355,360,365,365,365
2139,355,360,365,365,365
2140,355,360,365,365,365
2141,355,360,365,365,365
2142,355,360,365,365,365
2143,355,360,365,365,365
2144,355,360,365,365,365
2145,355,360,365,365,365
2146,355,360,365,365,365
2147,355,360,365,365,365
2148,355,360,365,365,365
2149,355,360,365,365,365
2150,355,360,365,365,365
2151,355,360,365,365,365
2152,355,360,365,365,365
2153,355,360,365,365,365
2154,355,360,365,365,365
2155,355,360,365,365,365
2156,355,360,365,365,365
2157,355,360,365,365,365
2158,355,360,365,365,365
2159,355,360,365,365,365
2160,355,360,365,365,365
2161,355,360,365,365,365
2162,355,360,365,365,365
2163,355,360,365,365,365
2164,355,360,365,365,365
2165,355,360,365,365,365
2166,355,360,365,365,365
2167,355,360,365,365,365
2168,355,360,365,365,365
2169,355,360,365,365,365
2170,355,360,365,365,365
2171,355,360,365,365,365
2172,355,360,365,365,365
2173,355,360,365,365,365
2174,355,360,365,365,365
2175,355,360,365,365,365
2176,355,360,365,365,365
2177,355,360,365,365,365
2178,355,360,365,365,365
2179,355,360,365,365,365
2180,355,360,365,365,365
2181,355,360,365,365,365
2182,355,360,365,365,365
2183,355,360,365,365,365
2184,355,360,365,365,365
2185,355,360,365,365,365
2186,355,360,365,365,365
2187,355,360,365,365,365
2188,355,360,365,365,365
2189,355,360,365,365,365
2190,355,360,365,365,365
2191,355,360,365,365,365
2192,355,360,365,365,365
2193,355,360,365,365,365
2194,355,360,365,365,365
2195,355,360,365,365,365
2196,355,360,365,365,365
2197,355,360,365,365,365
2198,355,360,365,365,365
2199,355,360,365,365,365
2200,355,360,365,365,365
