Year,5th,17th,50th,83th,95th
2020,1,3,7,11,13
2021,2,4,8,13,15
2022,8,10,15,19,21
2023,8,10,15,19,21
2024,15,17,22,26,28
2025,23,25,29,33,35
2026,29,32,38,44,46
2027,28,31,36,40,42
2028,27,29,34,38,40
2029,25,27,31,35,37
2030,29,32,38,44,46
2031,28,31,36,40,42
2032,32,36,41,47,49
2033,40,43,50,57,60
2034,58,62,71,80,84
2035,65,68,80,89,94
2036,75,79,92,101,109
2037,86,91,106,117,122
2038,101,108,121,130,135
2039,98,104,117,126,129
2040,109,114,125,137,140
2041,118,123,135,146,150
2042,133,138,151,162,167
2043,142,151,161,173,177
2044,167,175,190,201,206
2045,196,204,220,231,236
2046,211,220,236,247,252
2047,234,240,256,268,273
2048,236,246,259,273,276
2049,252,259,273,287,292
2050,252,259,273,287,292
2051,256,264,278,294,299
2052,266,273,288,300,306
2053,287,298,312,321,325
2054,299,308,323,331,334
2055,308,330,341,348,351
2056,320,341,351,356,359
2057,331,353,360,364,365
2058,331,354,361,365,365
2059,333,357,363,365,365
2060,333,358,364,365,365
2061,336,359,365,365,365
2062,336,360,365,365,365
2063,336,360,365,365,365
2064,336,360,365,365,365
2065,336,360,365,365,365
2066,336,360,365,365,365
2067,336,360,365,365,365
2068,336,360,365,365,365
2069,336,360,365,365,365
2070,336,360,365,365,365
2071,336,360,365,365,365
2072,336,360,365,365,365
2073,336,360,365,365,365
2074,336,360,365,365,365
2075,336,360,365,365,365
2076,336,360,365,365,365
2077,336,360,365,365,365
2078,336,360,365,365,365
2079,336,360,365,365,365
2080,336,360,365,365,365
2081,336,360,365,365,365
2082,336,360,365,365,365
2083,336,360,365,365,365
2084,336,360,365,365,365
2085,336,360,365,365,365
2086,336,360,365,365,365
2087,336,360,365,365,365
2088,336,360,365,365,365
2089,336,360,365,365,365
2090,336,360,365,365,365
2091,336,360,365,365,365
2092,336,360,365,365,365
2093,336,360,365,365,365
2094,336,360,365,365,365
2095,336,360,365,365,365
2096,336,360,365,365,365
2097,336,360,365,365,365
2098,336,360,365,365,365
2099,336,360,365,365,365
2100,336,360,365,365,365
2101,336,360,365,365,365
2102,336,360,365,365,365
2103,336,360,365,365,365
2104,336,360,365,365,365
2105,336,360,365,365,365
2106,336,360,365,365,365
2107,336,360,365,365,365
2108,336,360,365,365,365
2109,336,360,365,365,365
2110,336,360,365,365,365
2111,336,360,365,365,365
2112,336,360,365,365,365
2113,336,360,365,365,365
2114,336,360,365,365,365
2115,336,360,365,365,365
2116,336,360,365,365,365
2117,336,360,365,365,365
2118,336,360,365,365,365
2119,336,360,365,365,365
2120,336,360,365,365,365
2121,336,360,365,365,365
2122,336,360,365,365,365
2123,336,360,365,365,365
2124,336,360,365,365,365
2125,336,360,365,365,365
2126,336,360,365,365,365
2127,336,360,365,365,365
2128,336,360,365,365,365
2129,336,360,365,365,365
2130,336,360,365,365,365
2131,336,360,365,365,365
2132,336,360,365,365,365
2133,336,360,365,365,365
2134,336,360,365,365,365
2135,336,360,365,365,365
2136,336,360,365,365,365
2137,336,360,365,365,365
2138,336,360,365,365,365
2139,336,360,365,365,365
2140,336,360,365,365,365
2141,336,360,365,365,365
2142,336,360,365,365,365
2143,336,360,365,365,365
2144,336,360,365,365,365
2145,336,360,365,365,365
2146,336,360,365,365,365
2147,336,360,365,365,365
2148,336,360,365,365,365
2149,336,360,365,365,365
2150,336,360,365,365,365
2151,336,360,365,365,365
2152,336,360,365,365,365
2153,336,360,365,365,365
2154,336,360,365,365,365
2155,336,360,365,365,365
2156,336,360,365,365,365
2157,336,360,365,365,365
2158,336,360,365,365,365
2159,336,360,365,365,365
2160,336,360,365,365,365
2161,336,360,365,365,365
2162,336,360,365,365,365
2163,336,360,365,365,365
2164,336,360,365,365,365
2165,336,360,365,365,365
2166,336,360,365,365,365
2167,336,360,365,365,365
2168,336,360,365,365,365
2169,336,360,365,365,365
2170,336,360,365,365,365
2171,336,360,365,365,365
2172,336,360,365,365,365
2173,336,360,365,365,365
2174,336,360,365,365,365
2175,336,360,365,365,365
2176,336,360,365,365,365
2177,336,360,365,365,365
2178,336,360,365,365,365
2179,336,360,365,365,365
2180,336,360,365,365,365
2181,336,360,365,365,365
2182,336,360,365,365,365
2183,336,360,365,365,365
2184,336,360,365,365,365
2185,336,360,365,365,365
2186,336,360,365,365,365
2187,336,360,365,365,365
2188,336,360,365,365,365
2189,336,360,365,365,365
2190,336,360,365,365,365
2191,336,360,365,365,365
2192,336,360,365,365,365
2193,336,360,365,365,365
2194,336,360,365,365,365
2195,336,360,365,365,365
2196,336,360,365,365,365
2197,336,360,365,365,365
2198,336,360,365,365,365
2199,336,360,365,365,365
2200,336,360,365,365,365
