Year,5th,17th,50th,83th,95th
2020,17,20,27,33,36
2021,22,25,32,39,42
2022,27,30,38,45,48
2023,30,33,41,49,52
2024,42,46,55,66,69
2025,58,62,75,89,93
2026,74,83,101,114,118
2027,65,72,86,100,103
2028,71,77,94,107,112
2029,71,77,94,107,112
2030,74,83,101,114,118
2031,71,77,94,107,112
2032,88,94,113,129,135
2033,105,113,135,153,158
2034,145,159,177,203,208
2035,145,159,177,203,208
2036,186,195,216,237,245
2037,201,214,229,252,262
2038,221,232,252,273,281
2039,221,232,252,273,281
2040,229,240,258,277,288
2041,246,256,272,292,298
2042,276,284,296,313,317
2043,292,299,312,327,331
2044,306,313,326,338,342
2045,326,333,343,352,355
2046,337,342,352,358,361
2047,341,350,358,363,365
2048,347,352,359,364,365
2049,350,354,361,365,365
2050,352,357,363,365,365
2051,352,357,364,365,365
2052,353,359,364,365,365
2053,355,361,365,365,365
2054,356,362,365,365,365
2055,356,363,365,365,365
2056,356,363,365,365,365
2057,356,363,365,365,365
2058,356,363,365,365,365
2059,356,363,365,365,365
2060,357,363,365,365,365
2061,357,363,365,365,365
2062,357,363,365,365,365
2063,357,363,365,365,365
2064,357,363,365,365,365
2065,357,363,365,365,365
2066,357,363,365,365,365
2067,357,363,365,365,365
2068,357,363,365,365,365
2069,357,363,365,365,365
2070,357,363,365,365,365
2071,357,363,365,365,365
2072,357,363,365,365,365
2073,357,363,365,365,365
2074,357,363,365,365,365
2075,357,363,365,365,365
2076,357,363,365,365,365
2077,357,363,365,365,365
2078,357,363,365,365,365
2079,357,363,365,365,365
2080,357,363,365,365,365
2081,357,363,365,365,365
2082,357,363,365,365,365
2083,357,363,365,365,365
2084,357,363,365,365,365
2085,357,363,365,365,365
2086,357,363,365,365,365
2087,357,363,365,365,365
2088,357,363,365,365,365
2089,357,363,365,365,365
2090,357,363,365,365,365
2091,357,363,365,365,365
2092,357,363,365,365,365
2093,357,363,365,365,365
2094,357,363,365,365,365
2095,357,363,365,365,365
2096,357,363,365,365,365
2097,357,363,365,365,365
2098,357,363,365,365,365
2099,357,363,365,365,365
2100,357,363,365,365,365
2101,357,363,365,365,365
2102,357,363,365,365,365
2103,357,363,365,365,365
2104,357,363,365,365,365
2105,357,363,365,365,365
2106,357,363,365,365,365
2107,357,363,365,365,365
2108,357,363,365,365,365
2109,357,363,365,365,365
2110,357,363,365,365,365
2111,357,363,365,365,365
2112,357,363,365,365,365
2113,357,363,365,365,365
2114,357,363,365,365,365
2115,357,363,365,365,365
2116,357,363,365,365,365
2117,357,363,365,365,365
2118,357,363,365,365,365
2119,357,363,365,365,365
2120,357,363,365,365,365
2121,357,363,365,365,365
2122,357,363,365,365,365
2123,357,363,365,365,365
2124,357,363,365,365,365
2125,357,363,365,365,365
2126,357,363,365,365,365
2127,357,363,365,365,365
2128,357,363,365,365,365
2129,357,363,365,365,365
2130,357,363,365,365,365
2131,357,363,365,365,365
2132,357,363,365,365,365
2133,357,363,365,365,365
2134,357,363,365,365,365
2135,357,363,365,365,365
2136,357,363,365,365,365
2137,357,363,365,365,365
2138,357,363,365,365,365
2139,357,363,365,365,365
2140,357,363,365,365,365
2141,357,363,365,365,365
2142,357,363,365,365,365
2143,357,363,365,365,365
2144,357,363,365,365,365
2145,357,363,365,365,365
2146,357,363,365,365,365
2147,357,363,365,365,365
2148,357,363,365,365,365
2149,357,363,365,365,365
2150,357,363,365,365,365
2151,357,363,365,365,365
2152,357,363,365,365,365
2153,357,363,365,365,365
2154,357,363,365,365,365
2155,357,363,365,365,365
2156,357,363,365,365,365
2157,357,363,365,365,365
2158,357,363,365,365,365
2159,357,363,365,365,365
2160,357,363,365,365,365
2161,357,363,365,365,365
2162,357,363,365,365,365
2163,357,363,365,365,365
2164,357,363,365,365,365
2165,357,363,365,365,365
2166,357,363,365,365,365
2167,357,363,365,365,365
2168,357,363,365,365,365
2169,357,363,365,365,365
2170,357,363,365,365,365
2171,357,363,365,365,365
2172,357,363,365,365,365
2173,357,363,365,365,365
2174,357,363,365,365,365
2175,357,363,365,365,365
2176,357,363,365,365,365
2177,357,363,365,365,365
2178,357,363,365,365,365
2179,357,363,365,365,365
2180,357,363,365,365,365
2181,357,363,365,365,365
2182,357,363,365,365,365
2183,357,363,365,365,365
2184,357,363,365,365,365
2185,357,363,365,365,365
2186,357,363,365,365,365
2187,357,363,365,365,365
2188,357,363,365,365,365
2189,357,363,365,365,365
2190,357,363,365,365,365
2191,357,363,365,365,365
2192,357,363,365,365,365
2193,357,363,365,365,365
2194,357,363,365,365,365
2195,357,363,365,365,365
2196,357,363,365,365,365
2197,357,363,365,365,365
2198,357,363,365,365,365
2199,357,363,365,365,365
2200,357,363,365,365,365
