Year,5th,17th,50th,83th,95th
2020,28,31,37,45,49
2021,31,34,39,48,51
2022,34,36,42,50,53
2023,39,42,49,58,62
2024,44,48,57,66,70
2025,48,51,61,69,74
2026,52,55,63,73,80
2027,55,60,68,80,84
2028,71,76,87,99,104
2029,86,90,102,117,123
2030,101,108,123,140,147
2031,119,124,141,161,166
2032,135,150,168,185,192
2033,164,175,196,212,222
2034,177,190,209,226,236
2035,185,198,216,232,245
2036,205,216,236,254,261
2037,218,229,249,268,272
2038,229,240,261,277,285
2039,233,246,266,284,290
2040,246,256,276,294,299
2041,267,277,297,311,317
2042,276,291,309,323,328
2043,284,304,319,332,337
2044,295,314,331,343,348
2045,303,322,341,351,356
2046,312,332,349,357,361
2047,320,338,355,361,363
2048,321,340,356,361,364
2049,322,343,358,363,365
2050,325,344,359,364,365
2051,325,345,361,365,365
2052,326,345,361,365,365
2053,326,346,362,365,365
2054,328,347,363,365,365
2055,328,348,364,365,365
2056,328,348,365,365,365
2057,328,348,365,365,365
2058,328,349,365,365,365
2059,328,349,365,365,365
2060,328,349,365,365,365
2061,328,349,365,365,365
2062,328,349,365,365,365
2063,328,349,365,365,365
2064,328,349,365,365,365
2065,328,349,365,365,365
2066,328,349,365,365,365
2067,328,349,365,365,365
2068,328,349,365,365,365
2069,328,349,365,365,365
2070,328,349,365,365,365
2071,328,349,365,365,365
2072,328,349,365,365,365
2073,328,349,365,365,365
2074,328,349,365,365,365
2075,328,349,365,365,365
2076,328,349,365,365,365
2077,328,349,365,365,365
2078,328,349,365,365,365
2079,328,349,365,365,365
2080,328,349,365,365,365
2081,328,349,365,365,365
2082,328,349,365,365,365
2083,328,349,365,365,365
2084,328,349,365,365,365
2085,328,349,365,365,365
2086,328,349,365,365,365
2087,328,349,365,365,365
2088,328,349,365,365,365
2089,328,349,365,365,365
2090,328,349,365,365,365
2091,328,349,365,365,365
2092,328,349,365,365,365
2093,328,349,365,365,365
2094,328,349,365,365,365
2095,328,349,365,365,365
2096,328,349,365,365,365
2097,328,349,365,365,365
2098,328,349,365,365,365
2099,328,349,365,365,365
2100,328,349,365,365,365
2101,328,349,365,365,365
2102,328,349,365,365,365
2103,328,349,365,365,365
2104,328,349,365,365,365
2105,328,349,365,365,365
2106,328,349,365,365,365
2107,328,349,365,365,365
2108,328,349,365,365,365
2109,328,349,365,365,365
2110,328,349,365,365,365
2111,328,349,365,365,365
2112,328,349,365,365,365
2113,328,349,365,365,365
2114,328,349,365,365,365
2115,328,349,365,365,365
2116,328,349,365,365,365
2117,328,349,365,365,365
2118,328,349,365,365,365
2119,328,349,365,365,365
2120,328,349,365,365,365
2121,328,349,365,365,365
2122,328,349,365,365,365
2123,328,349,365,365,365
2124,328,349,365,365,365
2125,328,349,365,365,365
2126,328,349,365,365,365
2127,328,349,365,365,365
2128,328,349,365,365,365
2129,328,349,365,365,365
2130,328,349,365,365,365
2131,328,349,365,365,365
2132,328,349,365,365,365
2133,328,349,365,365,365
2134,328,349,365,365,365
2135,328,349,365,365,365
2136,328,349,365,365,365
2137,328,349,365,365,365
2138,328,349,365,365,365
2139,328,349,365,365,365
2140,328,349,365,365,365
2141,328,349,365,365,365
2142,328,349,365,365,365
2143,328,349,365,365,365
2144,328,349,365,365,365
2145,328,349,365,365,365
2146,328,349,365,365,365
2147,328,349,365,365,365
2148,328,349,365,365,365
2149,328,349,365,365,365
2150,328,349,365,365,365
2151,328,349,365,365,365
2152,328,349,365,365,365
2153,328,349,365,365,365
2154,328,349,365,365,365
2155,328,349,365,365,365
2156,328,349,365,365,365
2157,328,349,365,365,365
2158,328,349,365,365,365
2159,328,349,365,365,365
2160,328,349,365,365,365
2161,328,349,365,365,365
2162,328,349,365,365,365
2163,328,349,365,365,365
2164,328,349,365,365,365
2165,328,349,365,365,365
2166,328,349,365,365,365
2167,328,349,365,365,365
2168,328,349,365,365,365
2169,328,349,365,365,365
2170,328,349,365,365,365
2171,328,349,365,365,365
2172,328,349,365,365,365
2173,328,349,365,365,365
2174,328,349,365,365,365
2175,328,349,365,365,365
2176,328,349,365,365,365
2177,328,349,365,365,365
2178,328,349,365,365,365
2179,328,349,365,365,365
2180,328,349,365,365,365
2181,328,349,365,365,365
2182,328,349,365,365,365
2183,328,349,365,365,365
2184,328,349,365,365,365
2185,328,349,365,365,365
2186,328,349,365,365,365
2187,328,349,365,365,365
2188,328,349,365,365,365
2189,328,349,365,365,365
2190,328,349,365,365,365
2191,328,349,365,365,365
2192,328,349,365,365,365
2193,328,349,365,365,365
2194,328,349,365,365,365
2195,328,349,365,365,365
2196,328,349,365,365,365
2197,328,349,365,365,365
2198,328,349,365,365,365
2199,328,349,365,365,365
2200,328,349,365,365,365
