Year,5th,17th,50th,83th,95th
2020,1,1,3,7,9
2021,1,1,3,7,9
2022,1,1,3,7,9
2023,1,1,4,8,10
2024,1,2,6,11,14
2025,1,2,6,11,14
2026,1,2,6,11,14
2027,1,3,8,14,17
2028,2,4,9,15,18
2029,3,5,11,17,20
2030,2,4,9,15,18
2031,2,5,10,16,19
2032,4,7,14,20,23
2033,8,10,18,24,28
2034,11,13,20,28,31
2035,11,13,20,28,31
2036,17,20,28,35,40
2037,28,31,38,47,51
2038,31,34,41,51,55
2039,23,26,34,42,46
2040,23,26,34,42,46
2041,42,46,56,64,68
2042,52,57,68,79,83
2043,52,57,68,79,83
2044,59,64,77,88,94
2045,101,108,123,139,148
2046,124,131,147,168,179
2047,131,141,159,181,190
2048,131,141,159,181,190
2049,165,174,189,213,220
2050,182,187,202,228,235
2051,190,196,217,239,249
2052,190,196,217,239,249
2053,204,212,235,259,265
2054,233,241,267,287,294
2055,266,271,297,315,324
2056,281,288,309,326,333
2057,290,296,316,333,339
2058,302,310,327,341,345
2059,318,324,339,350,354
2060,331,335,347,356,359
2061,331,335,347,356,359
2062,336,339,350,358,360
2063,347,350,359,364,365
2064,356,359,363,365,365
2065,357,360,364,365,365
2066,360,362,365,365,365
2067,361,363,365,365,365
2068,362,363,365,365,365
2069,362,363,365,365,365
2070,362,363,365,365,365
2071,362,364,365,365,365
2072,362,364,365,365,365
2073,362,364,365,365,365
2074,362,364,365,365,365
2075,362,364,365,365,365
2076,362,364,365,365,365
2077,362,364,365,365,365
2078,362,364,365,365,365
2079,362,364,365,365,365
2080,362,364,365,365,365
2081,362,364,365,365,365
2082,362,364,365,365,365
2083,362,364,365,365,365
2084,362,364,365,365,365
2085,362,364,365,365,365
2086,362,364,365,365,365
2087,362,364,365,365,365
2088,362,364,365,365,365
2089,362,364,365,365,365
2090,362,364,365,365,365
2091,362,364,365,365,365
2092,362,364,365,365,365
2093,362,364,365,365,365
2094,362,364,365,365,365
2095,362,364,365,365,365
2096,362,364,365,365,365
2097,362,364,365,365,365
2098,362,364,365,365,365
2099,362,364,365,365,365
2100,362,364,365,365,365
2101,362,364,365,365,365
2102,362,364,365,365,365
2103,362,364,365,365,365
2104,362,364,365,365,365
2105,362,364,365,365,365
2106,362,364,365,365,365
2107,362,364,365,365,365
2108,362,364,365,365,365
2109,362,364,365,365,365
2110,362,364,365,365,365
2111,362,364,365,365,365
2112,362,364,365,365,365
2113,362,364,365,365,365
2114,362,364,365,365,365
2115,362,364,365,365,365
2116,362,364,365,365,365
2117,362,364,365,365,365
2118,362,364,365,365,365
2119,362,364,365,365,365
2120,362,364,365,365,365
2121,362,364,365,365,365
2122,362,364,365,365,365
2123,362,364,365,365,365
2124,362,364,365,365,365
2125,362,364,365,365,365
2126,362,364,365,365,365
2127,362,364,365,365,365
2128,362,364,365,365,365
2129,362,364,365,365,365
2130,362,364,365,365,365
2131,362,364,365,365,365
2132,362,364,365,365,365
2133,362,364,365,365,365
2134,362,364,365,365,365
2135,362,364,365,365,365
2136,362,364,365,365,365
2137,362,364,365,365,365
2138,362,364,365,365,365
2139,362,364,365,365,365
2140,362,364,365,365,365
2141,362,364,365,365,365
2142,362,364,365,365,365
2143,362,364,365,365,365
2144,362,364,365,365,365
2145,362,364,365,365,365
2146,362,364,365,365,365
2147,362,364,365,365,365
2148,362,364,365,365,365
2149,362,364,365,365,365
2150,362,364,365,365,365
2151,362,364,365,365,365
2152,362,364,365,365,365
2153,362,364,365,365,365
2154,362,364,365,365,365
2155,362,364,365,365,365
2156,362,364,365,365,365
2157,362,364,365,365,365
2158,362,364,365,365,365
2159,362,364,365,365,365
2160,362,364,365,365,365
2161,362,364,365,365,365
2162,362,364,365,365,365
2163,362,364,365,365,365
2164,362,364,365,365,365
2165,362,364,365,365,365
2166,362,364,365,365,365
2167,362,364,365,365,365
2168,362,364,365,365,365
2169,362,364,365,365,365
2170,362,364,365,365,365
2171,362,364,365,365,365
2172,362,364,365,365,365
2173,362,364,365,365,365
2174,362,364,365,365,365
2175,362,364,365,365,365
2176,362,364,365,365,365
2177,362,364,365,365,365
2178,362,364,365,365,365
2179,362,364,365,365,365
2180,362,364,365,365,365
2181,362,364,365,365,365
2182,362,364,365,365,365
2183,362,364,365,365,365
2184,362,364,365,365,365
2185,362,364,365,365,365
2186,362,364,365,365,365
2187,362,364,365,365,365
2188,362,364,365,365,365
2189,362,364,365,365,365
2190,362,364,365,365,365
2191,362,364,365,365,365
2192,362,364,365,365,365
2193,362,364,365,365,365
2194,362,364,365,365,365
2195,362,364,365,365,365
2196,362,364,365,365,365
2197,362,364,365,365,365
2198,362,364,365,365,365
2199,362,364,365,365,365
2200,362,364,365,365,365
