Year,5th,17th,50th,83th,95th
2020,9,12,17,22,26
2021,12,14,20,25,29
2022,14,16,23,30,33
2023,14,16,23,30,33
2024,18,20,27,33,36
2025,18,20,27,33,36
2026,20,24,31,39,42
2027,25,28,37,45,49
2028,29,33,43,52,57
2029,39,44,54,65,71
2030,51,56,69,84,89
2031,69,76,94,108,117
2032,87,97,115,132,139
2033,118,128,147,169,175
2034,133,146,166,186,197
2035,162,173,193,216,227
2036,172,182,203,224,235
2037,197,206,228,249,259
2038,205,214,239,258,267
2039,225,234,253,274,284
2040,240,249,270,287,297
2041,261,270,290,304,313
2042,286,292,309,325,332
2043,299,305,323,336,342
2044,317,325,338,350,353
2045,328,336,347,355,358
2046,338,346,354,361,364
2047,344,351,358,363,365
2048,348,353,359,364,365
2049,349,356,362,365,365
2050,350,357,363,365,365
2051,353,359,364,365,365
2052,353,360,364,365,365
2053,353,361,365,365,365
2054,354,362,365,365,365
2055,354,362,365,365,365
2056,354,363,365,365,365
2057,354,363,365,365,365
2058,354,363,365,365,365
2059,355,363,365,365,365
2060,355,363,365,365,365
2061,355,363,365,365,365
2062,355,363,365,365,365
2063,355,363,365,365,365
2064,355,363,365,365,365
2065,355,363,365,365,365
2066,355,363,365,365,365
2067,355,363,365,365,365
2068,355,363,365,365,365
2069,355,363,365,365,365
2070,355,363,365,365,365
2071,355,363,365,365,365
2072,355,363,365,365,365
2073,355,363,365,365,365
2074,355,363,365,365,365
2075,355,363,365,365,365
2076,355,363,365,365,365
2077,355,363,365,365,365
2078,355,363,365,365,365
2079,355,363,365,365,365
2080,355,363,365,365,365
2081,355,363,365,365,365
2082,355,363,365,365,365
2083,355,363,365,365,365
2084,355,363,365,365,365
2085,355,363,365,365,365
2086,355,363,365,365,365
2087,355,363,365,365,365
2088,355,363,365,365,365
2089,355,363,365,365,365
2090,355,363,365,365,365
2091,355,363,365,365,365
2092,355,363,365,365,365
2093,355,363,365,365,365
2094,355,363,365,365,365
2095,355,363,365,365,365
2096,355,363,365,365,365
2097,355,363,365,365,365
2098,355,363,365,365,365
2099,355,363,365,365,365
2100,355,363,365,365,365
2101,355,363,365,365,365
2102,355,363,365,365,365
2103,355,363,365,365,365
2104,355,363,365,365,365
2105,355,363,365,365,365
2106,355,363,365,365,365
2107,355,363,365,365,365
2108,355,363,365,365,365
2109,355,363,365,365,365
2110,355,363,365,365,365
2111,355,363,365,365,365
2112,355,363,365,365,365
2113,355,363,365,365,365
2114,355,363,365,365,365
2115,355,363,365,365,365
2116,355,363,365,365,365
2117,355,363,365,365,365
2118,355,363,365,365,365
2119,355,363,365,365,365
2120,355,363,365,365,365
2121,355,363,365,365,365
2122,355,363,365,365,365
2123,355,363,365,365,365
2124,355,363,365,365,365
2125,355,363,365,365,365
2126,355,363,365,365,365
2127,355,363,365,365,365
2128,355,363,365,365,365
2129,355,363,365,365,365
2130,355,363,365,365,365
2131,355,363,365,365,365
2132,355,363,365,365,365
2133,355,363,365,365,365
2134,355,363,365,365,365
2135,355,363,365,365,365
2136,355,363,365,365,365
2137,355,363,365,365,365
2138,355,363,365,365,365
2139,355,363,365,365,365
2140,355,363,365,365,365
2141,355,363,365,365,365
2142,355,363,365,365,365
2143,355,363,365,365,365
2144,355,363,365,365,365
2145,355,363,365,365,365
2146,355,363,365,365,365
2147,355,363,365,365,365
2148,355,363,365,365,365
2149,355,363,365,365,365
2150,355,363,365,365,365
2151,355,363,365,365,365
2152,355,363,365,365,365
2153,355,363,365,365,365
2154,355,363,365,365,365
2155,355,363,365,365,365
2156,355,363,365,365,365
2157,355,363,365,365,365
2158,355,363,365,365,365
2159,355,363,365,365,365
2160,355,363,365,365,365
2161,355,363,365,365,365
2162,355,363,365,365,365
2163,355,363,365,365,365
2164,355,363,365,365,365
2165,355,363,365,365,365
2166,355,363,365,365,365
2167,355,363,365,365,365
2168,355,363,365,365,365
2169,355,363,365,365,365
2170,355,363,365,365,365
2171,355,363,365,365,365
2172,355,363,365,365,365
2173,355,363,365,365,365
2174,355,363,365,365,365
2175,355,363,365,365,365
2176,355,363,365,365,365
2177,355,363,365,365,365
2178,355,363,365,365,365
2179,355,363,365,365,365
2180,355,363,365,365,365
2181,355,363,365,365,365
2182,355,363,365,365,365
2183,355,363,365,365,365
2184,355,363,365,365,365
2185,355,363,365,365,365
2186,355,363,365,365,365
2187,355,363,365,365,365
2188,355,363,365,365,365
2189,355,363,365,365,365
2190,355,363,365,365,365
2191,355,363,365,365,365
2192,355,363,365,365,365
2193,355,363,365,365,365
2194,355,363,365,365,365
2195,355,363,365,365,365
2196,355,363,365,365,365
2197,355,363,365,365,365
2198,355,363,365,365,365
2199,355,363,365,365,365
2200,355,363,365,365,365
