Year,5th,17th,50th,83th,95th
2020,1,1,1,4,5
2021,1,1,1,4,5
2022,1,1,1,4,5
2023,1,1,1,4,5
2024,1,1,2,4,5
2025,1,1,2,4,5
2026,1,1,2,4,5
2027,1,1,2,4,5
2028,1,1,2,4,5
2029,1,1,2,4,5
2030,1,1,2,4,6
2031,1,1,2,5,6
2032,1,1,2,5,6
2033,1,1,2,5,6
2034,1,1,2,5,6
2035,1,1,3,6,7
2036,1,1,3,6,8
2037,1,1,4,7,9
2038,1,2,6,9,11
2039,2,4,8,13,16
2040,6,8,13,19,21
2041,9,11,17,23,26
2042,16,20,27,33,37
2043,31,35,46,55,59
2044,50,59,73,85,91
2045,77,83,96,111,118
2046,95,100,115,132,138
2047,123,128,145,164,173
2048,143,150,165,182,192
2049,159,168,186,201,214
2050,170,178,194,210,218
2051,191,197,216,231,245
2052,220,225,243,257,268
2053,244,249,266,282,290
2054,272,277,295,308,318
2055,297,302,318,329,334
2056,320,327,339,348,351
2057,332,341,351,357,359
2058,340,350,358,362,364
2059,344,354,361,365,365
2060,348,358,363,365,365
2061,348,360,364,365,365
2062,348,361,365,365,365
2063,349,361,365,365,365
2064,350,361,365,365,365
2065,350,362,365,365,365
2066,350,362,365,365,365
2067,350,362,365,365,365
2068,350,362,365,365,365
2069,350,362,365,365,365
2070,350,362,365,365,365
2071,350,362,365,365,365
2072,350,362,365,365,365
2073,350,362,365,365,365
2074,350,362,365,365,365
2075,350,362,365,365,365
2076,350,362,365,365,365
2077,350,362,365,365,365
2078,350,362,365,365,365
2079,350,362,365,365,365
2080,350,362,365,365,365
2081,350,362,365,365,365
2082,350,362,365,365,365
2083,350,362,365,365,365
2084,350,362,365,365,365
2085,350,362,365,365,365
2086,350,362,365,365,365
2087,350,362,365,365,365
2088,350,362,365,365,365
2089,350,362,365,365,365
2090,350,362,365,365,365
2091,350,362,365,365,365
2092,350,362,365,365,365
2093,350,362,365,365,365
2094,350,362,365,365,365
2095,350,362,365,365,365
2096,350,362,365,365,365
2097,350,362,365,365,365
2098,350,362,365,365,365
2099,350,362,365,365,365
2100,350,362,365,365,365
2101,350,362,365,365,365
2102,350,362,365,365,365
2103,350,362,365,365,365
2104,350,362,365,365,365
2105,350,362,365,365,365
2106,350,362,365,365,365
2107,350,362,365,365,365
2108,350,362,365,365,365
2109,350,362,365,365,365
2110,350,362,365,365,365
2111,350,362,365,365,365
2112,350,362,365,365,365
2113,350,362,365,365,365
2114,350,362,365,365,365
2115,350,362,365,365,365
2116,350,362,365,365,365
2117,350,362,365,365,365
2118,350,362,365,365,365
2119,350,362,365,365,365
2120,350,362,365,365,365
2121,350,362,365,365,365
2122,350,362,365,365,365
2123,350,362,365,365,365
2124,350,362,365,365,365
2125,350,362,365,365,365
2126,350,362,365,365,365
2127,350,362,365,365,365
2128,350,362,365,365,365
2129,350,362,365,365,365
2130,350,362,365,365,365
2131,350,362,365,365,365
2132,350,362,365,365,365
2133,350,362,365,365,365
2134,350,362,365,365,365
2135,350,362,365,365,365
2136,350,362,365,365,365
2137,350,362,365,365,365
2138,350,362,365,365,365
2139,350,362,365,365,365
2140,350,362,365,365,365
2141,350,362,365,365,365
2142,350,362,365,365,365
2143,350,362,365,365,365
2144,350,362,365,365,365
2145,350,362,365,365,365
2146,350,362,365,365,365
2147,350,362,365,365,365
2148,350,362,365,365,365
2149,350,362,365,365,365
2150,350,362,365,365,365
2151,350,362,365,365,365
2152,350,362,365,365,365
2153,350,362,365,365,365
2154,350,362,365,365,365
2155,350,362,365,365,365
2156,350,362,365,365,365
2157,350,362,365,365,365
2158,350,362,365,365,365
2159,350,362,365,365,365
2160,350,362,365,365,365
2161,350,362,365,365,365
2162,350,362,365,365,365
2163,350,362,365,365,365
2164,350,362,365,365,365
2165,350,362,365,365,365
2166,350,362,365,365,365
2167,350,362,365,365,365
2168,350,362,365,365,365
2169,350,362,365,365,365
2170,350,362,365,365,365
2171,350,362,365,365,365
2172,350,362,365,365,365
2173,350,362,365,365,365
2174,350,362,365,365,365
2175,350,362,365,365,365
2176,350,362,365,365,365
2177,350,362,365,365,365
2178,350,362,365,365,365
2179,350,362,365,365,365
2180,350,362,365,365,365
2181,350,362,365,365,365
2182,350,362,365,365,365
2183,350,362,365,365,365
2184,350,362,365,365,365
2185,350,362,365,365,365
2186,350,362,365,365,365
2187,350,362,365,365,365
2188,350,362,365,365,365
2189,350,362,365,365,365
2190,350,362,365,365,365
2191,350,362,365,365,365
2192,350,362,365,365,365
2193,350,362,365,365,365
2194,350,362,365,365,365
2195,350,362,365,365,365
2196,350,362,365,365,365
2197,350,362,365,365,365
2198,350,362,365,365,365
2199,350,362,365,365,365
2200,350,362,365,365,365
