Year,5th,17th,50th,83th,95th
2020,1,3,7,11,12
2021,1,3,7,11,13
2022,2,3,8,12,14
2023,3,4,9,14,16
2024,4,5,10,14,17
2025,4,6,10,15,18
2026,4,6,10,15,18
2027,6,8,12,18,20
2028,12,14,19,24,28
2029,15,17,22,29,32
2030,21,24,29,36,40
2031,29,32,39,45,48
2032,40,43,53,61,66
2033,55,59,69,83,87
2034,60,66,79,93,95
2035,69,76,90,103,106
2036,80,87,100,113,117
2037,89,97,110,126,133
2038,101,106,123,138,143
2039,104,113,128,145,153
2040,113,119,136,151,158
2041,129,138,158,170,179
2042,158,173,190,205,217
2043,185,202,218,234,247
2044,198,206,233,250,260
2045,228,243,266,282,289
2046,257,270,291,307,314
2047,273,287,303,320,325
2048,286,298,314,329,335
2049,295,309,324,338,343
2050,303,316,329,342,345
2051,308,325,337,348,351
2052,308,329,341,351,355
2053,311,337,348,355,358
2054,314,342,353,359,362
2055,316,349,357,362,364
2056,317,353,360,364,365
2057,318,355,362,365,365
2058,318,356,362,365,365
2059,318,359,364,365,365
2060,318,360,364,365,365
2061,318,360,364,365,365
2062,319,361,365,365,365
2063,319,361,365,365,365
2064,319,362,365,365,365
2065,319,362,365,365,365
2066,319,362,365,365,365
2067,319,362,365,365,365
2068,319,362,365,365,365
2069,319,362,365,365,365
2070,319,362,365,365,365
2071,319,362,365,365,365
2072,319,362,365,365,365
2073,319,362,365,365,365
2074,319,362,365,365,365
2075,319,362,365,365,365
2076,319,362,365,365,365
2077,319,362,365,365,365
2078,319,362,365,365,365
2079,319,362,365,365,365
2080,319,362,365,365,365
2081,319,362,365,365,365
2082,319,362,365,365,365
2083,319,362,365,365,365
2084,319,362,365,365,365
2085,319,362,365,365,365
2086,319,362,365,365,365
2087,319,362,365,365,365
2088,319,362,365,365,365
2089,319,362,365,365,365
2090,319,362,365,365,365
2091,319,362,365,365,365
2092,319,362,365,365,365
2093,319,362,365,365,365
2094,319,362,365,365,365
2095,319,362,365,365,365
2096,319,362,365,365,365
2097,319,362,365,365,365
2098,319,362,365,365,365
2099,319,362,365,365,365
2100,319,362,365,365,365
2101,319,362,365,365,365
2102,319,362,365,365,365
2103,319,362,365,365,365
2104,319,362,365,365,365
2105,319,362,365,365,365
2106,319,362,365,365,365
2107,319,362,365,365,365
2108,319,362,365,365,365
2109,319,362,365,365,365
2110,319,362,365,365,365
2111,319,362,365,365,365
2112,319,362,365,365,365
2113,319,362,365,365,365
2114,319,362,365,365,365
2115,319,362,365,365,365
2116,319,362,365,365,365
2117,319,362,365,365,365
2118,319,362,365,365,365
2119,319,362,365,365,365
2120,319,362,365,365,365
2121,319,362,365,365,365
2122,319,362,365,365,365
2123,319,362,365,365,365
2124,319,362,365,365,365
2125,319,362,365,365,365
2126,319,362,365,365,365
2127,319,362,365,365,365
2128,319,362,365,365,365
2129,319,362,365,365,365
2130,319,362,365,365,365
2131,319,362,365,365,365
2132,319,362,365,365,365
2133,319,362,365,365,365
2134,319,362,365,365,365
2135,319,362,365,365,365
2136,319,362,365,365,365
2137,319,362,365,365,365
2138,319,362,365,365,365
2139,319,362,365,365,365
2140,319,362,365,365,365
2141,319,362,365,365,365
2142,319,362,365,365,365
2143,319,362,365,365,365
2144,319,362,365,365,365
2145,319,362,365,365,365
2146,319,362,365,365,365
2147,319,362,365,365,365
2148,319,362,365,365,365
2149,319,362,365,365,365
2150,319,362,365,365,365
2151,319,362,365,365,365
2152,319,362,365,365,365
2153,319,362,365,365,365
2154,319,362,365,365,365
2155,319,362,365,365,365
2156,319,362,365,365,365
2157,319,362,365,365,365
2158,319,362,365,365,365
2159,319,362,365,365,365
2160,319,362,365,365,365
2161,319,362,365,365,365
2162,319,362,365,365,365
2163,319,362,365,365,365
2164,319,362,365,365,365
2165,319,362,365,365,365
2166,319,362,365,365,365
2167,319,362,365,365,365
2168,319,362,365,365,365
2169,319,362,365,365,365
2170,319,362,365,365,365
2171,319,362,365,365,365
2172,319,362,365,365,365
2173,319,362,365,365,365
2174,319,362,365,365,365
2175,319,362,365,365,365
2176,319,362,365,365,365
2177,319,362,365,365,365
2178,319,362,365,365,365
2179,319,362,365,365,365
2180,319,362,365,365,365
2181,319,362,365,365,365
2182,319,362,365,365,365
2183,319,362,365,365,365
2184,319,362,365,365,365
2185,319,362,365,365,365
2186,319,362,365,365,365
2187,319,362,365,365,365
2188,319,362,365,365,365
2189,319,362,365,365,365
2190,319,362,365,365,365
2191,319,362,365,365,365
2192,319,362,365,365,365
2193,319,362,365,365,365
2194,319,362,365,365,365
2195,319,362,365,365,365
2196,319,362,365,365,365
2197,319,362,365,365,365
2198,319,362,365,365,365
2199,319,362,365,365,365
2200,319,362,365,365,365
