Year,5th,17th,50th,83th,95th
2020,63,69,81,98,110
2021,73,81,98,113,121
2022,78,88,105,123,129
2023,90,95,114,129,136
2024,101,110,130,147,154
2025,101,110,130,147,154
2026,111,117,139,157,163
2027,128,136,158,174,181
2028,145,152,178,194,199
2029,172,179,205,221,227
2030,198,205,231,246,251
2031,224,234,255,272,278
2032,243,254,273,287,294
2033,256,273,290,304,308
2034,268,285,303,315,320
2035,275,293,310,322,327
2036,280,297,313,325,329
2037,286,303,319,329,335
2038,291,310,325,334,339
2039,293,311,327,336,340
2040,296,317,331,340,343
2041,303,326,338,346,348
2042,311,332,344,351,353
2043,317,337,349,355,357
2044,320,342,353,358,360
2045,321,345,355,360,362
2046,324,348,358,362,364
2047,326,350,359,363,365
2048,326,352,360,364,365
2049,328,353,361,365,365
2050,330,355,362,365,365
2051,331,355,362,365,365
2052,331,357,363,365,365
2053,331,357,364,365,365
2054,331,358,364,365,365
2055,332,359,364,365,365
2056,332,359,365,365,365
2057,333,359,365,365,365
2058,334,359,365,365,365
2059,334,359,365,365,365
2060,334,359,365,365,365
2061,334,359,365,365,365
2062,334,359,365,365,365
2063,334,359,365,365,365
2064,334,359,365,365,365
2065,334,359,365,365,365
2066,334,359,365,365,365
2067,334,359,365,365,365
2068,334,359,365,365,365
2069,334,359,365,365,365
2070,334,359,365,365,365
2071,334,359,365,365,365
2072,334,359,365,365,365
2073,334,359,365,365,365
2074,334,359,365,365,365
2075,334,359,365,365,365
2076,334,359,365,365,365
2077,334,359,365,365,365
2078,334,359,365,365,365
2079,334,359,365,365,365
2080,334,359,365,365,365
2081,334,359,365,365,365
2082,334,359,365,365,365
2083,334,359,365,365,365
2084,334,359,365,365,365
2085,334,359,365,365,365
2086,334,359,365,365,365
2087,334,359,365,365,365
2088,334,359,365,365,365
2089,334,359,365,365,365
2090,334,359,365,365,365
2091,334,359,365,365,365
2092,334,359,365,365,365
2093,334,359,365,365,365
2094,334,359,365,365,365
2095,334,359,365,365,365
2096,334,359,365,365,365
2097,334,359,365,365,365
2098,334,359,365,365,365
2099,334,359,365,365,365
2100,334,359,365,365,365
2101,334,359,365,365,365
2102,334,359,365,365,365
2103,334,359,365,365,365
2104,334,359,365,365,365
2105,334,359,365,365,365
2106,334,359,365,365,365
2107,334,359,365,365,365
2108,334,359,365,365,365
2109,334,359,365,365,365
2110,334,359,365,365,365
2111,334,359,365,365,365
2112,334,359,365,365,365
2113,334,359,365,365,365
2114,334,359,365,365,365
2115,334,359,365,365,365
2116,334,359,365,365,365
2117,334,359,365,365,365
2118,334,359,365,365,365
2119,334,359,365,365,365
2120,334,359,365,365,365
2121,334,359,365,365,365
2122,334,359,365,365,365
2123,334,359,365,365,365
2124,334,359,365,365,365
2125,334,359,365,365,365
2126,334,359,365,365,365
2127,334,359,365,365,365
2128,334,359,365,365,365
2129,334,359,365,365,365
2130,334,359,365,365,365
2131,334,359,365,365,365
2132,334,359,365,365,365
2133,334,359,365,365,365
2134,334,359,365,365,365
2135,334,359,365,365,365
2136,334,359,365,365,365
2137,334,359,365,365,365
2138,334,359,365,365,365
2139,334,359,365,365,365
2140,334,359,365,365,365
2141,334,359,365,365,365
2142,334,359,365,365,365
2143,334,359,365,365,365
2144,334,359,365,365,365
2145,334,359,365,365,365
2146,334,359,365,365,365
2147,334,359,365,365,365
2148,334,359,365,365,365
2149,334,359,365,365,365
2150,334,359,365,365,365
2151,334,359,365,365,365
2152,334,359,365,365,365
2153,334,359,365,365,365
2154,334,359,365,365,365
2155,334,359,365,365,365
2156,334,359,365,365,365
2157,334,359,365,365,365
2158,334,359,365,365,365
2159,334,359,365,365,365
2160,334,359,365,365,365
2161,334,359,365,365,365
2162,334,359,365,365,365
2163,334,359,365,365,365
2164,334,359,365,365,365
2165,334,359,365,365,365
2166,334,359,365,365,365
2167,334,359,365,365,365
2168,334,359,365,365,365
2169,334,359,365,365,365
2170,334,359,365,365,365
2171,334,359,365,365,365
2172,334,359,365,365,365
2173,334,359,365,365,365
2174,334,359,365,365,365
2175,334,359,365,365,365
2176,334,359,365,365,365
2177,334,359,365,365,365
2178,334,359,365,365,365
2179,334,359,365,365,365
2180,334,359,365,365,365
2181,334,359,365,365,365
2182,334,359,365,365,365
2183,334,359,365,365,365
2184,334,359,365,365,365
2185,334,359,365,365,365
2186,334,359,365,365,365
2187,334,359,365,365,365
2188,334,359,365,365,365
2189,334,359,365,365,365
2190,334,359,365,365,365
2191,334,359,365,365,365
2192,334,359,365,365,365
2193,334,359,365,365,365
2194,334,359,365,365,365
2195,334,359,365,365,365
2196,334,359,365,365,365
2197,334,359,365,365,365
2198,334,359,365,365,365
2199,334,359,365,365,365
2200,334,359,365,365,365
