Year,5th,17th,50th,83th,95th
2020,103,109,129,153,163
2021,103,109,129,153,163
2022,113,119,141,164,171
2023,130,138,160,188,195
2024,146,159,183,208,218
2025,146,159,183,208,218
2026,159,170,192,219,233
2027,188,198,223,248,260
2028,223,238,264,292,299
2029,242,257,282,303,312
2030,256,273,299,317,323
2031,290,298,323,338,344
2032,307,315,336,348,353
2033,319,330,347,355,359
2034,325,333,349,358,361
2035,327,337,351,359,362
2036,328,339,354,360,362
2037,330,348,358,364,365
2038,333,352,361,365,365
2039,333,353,362,365,365
2040,333,356,364,365,365
2041,334,358,365,365,365
2042,334,360,365,365,365
2043,334,360,365,365,365
2044,334,360,365,365,365
2045,334,360,365,365,365
2046,335,360,365,365,365
2047,335,360,365,365,365
2048,335,360,365,365,365
2049,335,360,365,365,365
2050,335,360,365,365,365
2051,335,361,365,365,365
2052,335,361,365,365,365
2053,335,361,365,365,365
2054,335,361,365,365,365
2055,335,361,365,365,365
2056,335,361,365,365,365
2057,335,361,365,365,365
2058,335,361,365,365,365
2059,335,361,365,365,365
2060,335,361,365,365,365
2061,335,361,365,365,365
2062,335,361,365,365,365
2063,335,361,365,365,365
2064,335,361,365,365,365
2065,335,361,365,365,365
2066,335,361,365,365,365
2067,335,361,365,365,365
2068,335,361,365,365,365
2069,335,361,365,365,365
2070,335,361,365,365,365
2071,335,361,365,365,365
2072,335,361,365,365,365
2073,335,361,365,365,365
2074,335,361,365,365,365
2075,335,361,365,365,365
2076,335,361,365,365,365
2077,335,361,365,365,365
2078,335,361,365,365,365
2079,335,361,365,365,365
2080,335,361,365,365,365
2081,335,361,365,365,365
2082,335,361,365,365,365
2083,335,361,365,365,365
2084,335,361,365,365,365
2085,335,361,365,365,365
2086,335,361,365,365,365
2087,335,361,365,365,365
2088,335,361,365,365,365
2089,335,361,365,365,365
2090,335,361,365,365,365
2091,335,361,365,365,365
2092,335,361,365,365,365
2093,335,361,365,365,365
2094,335,361,365,365,365
2095,335,361,365,365,365
2096,335,361,365,365,365
2097,335,361,365,365,365
2098,335,361,365,365,365
2099,335,361,365,365,365
2100,335,361,365,365,365
2101,335,361,365,365,365
2102,335,361,365,365,365
2103,335,361,365,365,365
2104,335,361,365,365,365
2105,335,361,365,365,365
2106,335,361,365,365,365
2107,335,361,365,365,365
2108,335,361,365,365,365
2109,335,361,365,365,365
2110,335,361,365,365,365
2111,335,361,365,365,365
2112,335,361,365,365,365
2113,335,361,365,365,365
2114,335,361,365,365,365
2115,335,361,365,365,365
2116,335,361,365,365,365
2117,335,361,365,365,365
2118,335,361,365,365,365
2119,335,361,365,365,365
2120,335,361,365,365,365
2121,335,361,365,365,365
2122,335,361,365,365,365
2123,335,361,365,365,365
2124,335,361,365,365,365
2125,335,361,365,365,365
2126,335,361,365,365,365
2127,335,361,365,365,365
2128,335,361,365,365,365
2129,335,361,365,365,365
2130,335,361,365,365,365
2131,335,361,365,365,365
2132,335,361,365,365,365
2133,335,361,365,365,365
2134,335,361,365,365,365
2135,335,361,365,365,365
2136,335,361,365,365,365
2137,335,361,365,365,365
2138,335,361,365,365,365
2139,335,361,365,365,365
2140,335,361,365,365,365
2141,335,361,365,365,365
2142,335,361,365,365,365
2143,335,361,365,365,365
2144,335,361,365,365,365
2145,335,361,365,365,365
2146,335,361,365,365,365
2147,335,361,365,365,365
2148,335,361,365,365,365
2149,335,361,365,365,365
2150,335,361,365,365,365
2151,335,361,365,365,365
2152,335,361,365,365,365
2153,335,361,365,365,365
2154,335,361,365,365,365
2155,335,361,365,365,365
2156,335,361,365,365,365
2157,335,361,365,365,365
2158,335,361,365,365,365
2159,335,361,365,365,365
2160,335,361,365,365,365
2161,335,361,365,365,365
2162,335,361,365,365,365
2163,335,361,365,365,365
2164,335,361,365,365,365
2165,335,361,365,365,365
2166,335,361,365,365,365
2167,335,361,365,365,365
2168,335,361,365,365,365
2169,335,361,365,365,365
2170,335,361,365,365,365
2171,335,361,365,365,365
2172,335,361,365,365,365
2173,335,361,365,365,365
2174,335,361,365,365,365
2175,335,361,365,365,365
2176,335,361,365,365,365
2177,335,361,365,365,365
2178,335,361,365,365,365
2179,335,361,365,365,365
2180,335,361,365,365,365
2181,335,361,365,365,365
2182,335,361,365,365,365
2183,335,361,365,365,365
2184,335,361,365,365,365
2185,335,361,365,365,365
2186,335,361,365,365,365
2187,335,361,365,365,365
2188,335,361,365,365,365
2189,335,361,365,365,365
2190,335,361,365,365,365
2191,335,361,365,365,365
2192,335,361,365,365,365
2193,335,361,365,365,365
2194,335,361,365,365,365
2195,335,361,365,365,365
2196,335,361,365,365,365
2197,335,361,365,365,365
2198,335,361,365,365,365
2199,335,361,365,365,365
2200,335,361,365,365,365
